Rank,Cocktail,Category
1,Lemon,Fruits
2,Cherry,Berries
3,Orange,Fruits
4,Angostura,Alcohol
5,Lime,Fruits
6,Peychaud's Bitters,Alcohol
7,Cointreau,Liqueurs
8,Orange bitter,Alcohol
9,Rye whiskey,Alcohol
10,Sweet vermouth,Alcohol
11,Beer,Alcohol
12,Bénédictine,Alcohol
13,Blueberry,Berries
14,Bourbon,Alcohol
15,Cognac,Alcohol
16,Dry vermouth,Alcohol
17,Gin,Alcohol
18,Green chartreuse,Alcohol
19,Lillet blanc,Alcohol
20,Maraschino liqueur,Alcohol
21,Olive oil,Oils
22,Vodka,Alcohol
