Rank,Cocktail,Category,Savory,Category
1,Lime,Fruits,Cilantro,Herbs
2,Lemon,Fruits,Garlic,Herbs
3,Mint,Herbs,Ginger,Herbs
4,Beer,Alcohol,Shallot,Vegetables
5,Cointreau,Liqueurs,Soy,Other
6,Grapefruit,Fruits,,
7,Pineapple,Fruits,,
8,Angostura,Alcohol,,
9,Cinnamon,Spices,,
10,Light rum,Alcohol,,
11,Mezcal,Alcohol,,
12,Orange,Fruits,,
13,St. Germain,Alcohol,,
14,Tequila,Alcohol,,
15,Amaretto,Alcohol,,
16,Apple,Fruits,,
17,Blackberry,Berries,,
18,Bourbon,Alcohol,,
19,Champagne,Alcohol,,
20,Cherry,Berries,,
21,Cucumber,Vegetables,,
22,Nutmeg,Spices,,
23,Orange bitter,Alcohol,,
24,Peychaud's Bitters,Alcohol,,
25,Rosemary,Herbs,,
26,Rum,Alcohol,,
27,White wine,Alcohol,,
