Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Onion,Vegetables,Cinnamon,Spices
2,Nutmeg,Spices,Cinnamon,Spices,Cloves,Spices
3,Coconut,Nut,Pepper,Spices,Ginger,Herbs
4,Cognac,Alcohol,Bay leaf,Herbs,Cardamom,Spices
5,Cream,Dairy,Cloves,Spices,Dark chocolate,Other
6,Dark rum,Alcohol,Garlic,Herbs,Orange,Fruits
7,Honey,Sugars,Timian,Herbs,Nutmeg,Spices
8,Lime,Fruits,Cardamom,Spices,Vanilla,Herbs
9,Maple syrup,Sugars,Cilantro,Herbs,Almond,Nut
10,Mezcal,Alcohol,Nutmeg,Spices,Honey,Sugars
11,Vanilla,Herbs,Olive oil,Oils,Lemon,Fruits
12,,,Star anise,Spices,Cream cheese,Cheeses
13,,,Carrot,Other,Marzipan,Other
14,,,Celery,Vegetables,Star anise,Spices
15,,,Chili,Herbs,White chocolate,Other
16,,,Cumin,Spices,Apricot,Fruits
17,,,Ginger,Herbs,Blackcurrant,Berries
18,,,Leek,Vegetables,Carrot,Other
19,,,Lemon,Fruits,Chili,Herbs
20,,,Orange,Fruits,Cilantro,Herbs
21,,,Pork,Meats,Condensed milk,Dairy
22,,,Apple,Fruits,Currant,Berries
23,,,Celeriac,Vegetables,Lime,Fruits
24,,,Cognac,Alcohol,Maple syrup,Sugars
25,,,Egg plant,Vegetables,Marshmallow,Candy
26,,,Hazelnut,Nut,Pepper,Spices
27,,,Honey,Sugars,Portwine,Alcohol
28,,,Lime,Fruits,Pumpkin,Vegetables
29,,,Mustard,Condiments,Raisin,Fruits
30,,,Paprika,Spices,Walnut,Nut
31,,,Parmesan,Dairy,Zucchini,Vegetables
32,,,Parsley,Herbs,,
33,,,Parsley root,Vegetables,,
34,,,Portwine,Alcohol,,
35,,,Raisin,Fruits,,
36,,,Red cabbage,Vegetables,,
37,,,Red onion,Vegetables,,
38,,,Red wine,Alcohol,,
39,,,Rosemary,Herbs,,
40,,,Tomato,Vegetables,,
41,,,Vanilla,Herbs,,
42,,,White wine,Alcohol,,
43,,,Apple cider vinegar,Vinegars,,
44,,,Avocado,Vegetables,,
45,,,Bacon,Meats,,
46,,,Banana,Fruits,,
47,,,Basil,Herbs,,
48,,,Bell pepper,Vegetables,,
49,,,Caraway,Spices,,
50,,,Chestnut,Nut,,
51,,,Cranberry,Berries,,
52,,,Creme fraiche,Dairy,,
53,,,Cucumber,Vegetables,,
54,,,Currant,Berries,,
55,,,Dark rum,Alcohol,,
56,,,Dill,Herbs,,
57,,,Fish sauce,Other,,
58,,,Licorice,Candy,,
59,,,Mayonnaise,Condiments,,
60,,,Mushroom,Vegetables,,
61,,,Pickling vinegar,Vinegars,,
62,,,Pointed cabbage,Vegetables,,
63,,,Potato,Vegetables,,
64,,,Rice,Other,,
65,,,Salmon,Meats,,
66,,,Schnapps,Alcohol,,
67,,,Smoked paprika,Spices,,
68,,,Soy,Other,,
69,,,Turmeric,Spices,,
70,,,Walnut,Nut,,
71,,,White wine vinegar,Vinegars,,
72,,,Yoghurt,Dairy,,
