Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cardamom,Spices,Honey,Sugars,Vanilla,Herbs
2,Cinnamon,Spices,Olive oil,Oils,Lemon,Fruits
3,Cloves,Spices,Pepper,Spices,White chocolate,Other
4,Ginger,Herbs,Cinnamon,Spices,Dark chocolate,Other
5,Lemon,Fruits,Garlic,Herbs,Marzipan,Other
6,,,Ginger,Herbs,Cinnamon,Spices
7,,,Lemon,Fruits,Cocoa,Other
8,,,Vanilla,Herbs,Raspberry,Berries
9,,,Apple,Fruits,Apple,Fruits
10,,,Apple cider vinegar,Vinegars,Cardamom,Spices
11,,,Banana,Fruits,Hazelnut,Nut
12,,,Mint,Herbs,Honey,Sugars
13,,,Mustard,Condiments,Lime,Fruits
14,,,Onion,Vegetables,Orange,Fruits
15,,,Parmesan,Dairy,Pistachio,Nut
16,,,Parsley,Herbs,Rhubarb,Fruits
17,,,Red onion,Vegetables,Strawberry,Berries
18,,,Tomato,Vegetables,Banana,Fruits
19,,,Turmeric,Spices,Blackberry,Berries
20,,,Arugula,Vegetables,Blackcurrant,Berries
21,,,Basil,Herbs,Blueberry,Berries
22,,,Bay leaf,Herbs,Cloves,Spices
23,,,Blueberry,Berries,Coconut,Nut
24,,,Cardamom,Spices,Coffee,Beverages
25,,,Cauliflower,Vegetables,Condensed milk,Dairy
26,,,Chili,Herbs,Creme fraiche,Dairy
27,,,Cilantro,Herbs,Date,Fruits
28,,,Cloves,Spices,Elderflower,Herbs
29,,,Coconut,Nut,Ginger,Herbs
30,,,Creme fraiche,Dairy,Licorice,Candy
31,,,Cumin,Spices,Marshmallow,Candy
32,,,Dark chocolate,Other,Mascarpone,Cheeses
33,,,Date,Fruits,Milk chocolate,Other
34,,,Flaxseed,Seeds,Mint,Herbs
35,,,Garam masala,Spices,Nougat,Other
36,,,Hazelnut,Nut,Raisin,Fruits
37,,,Lime,Fruits,Redcurrant,Berries
38,,,Orange,Fruits,Walnut,Nut
39,,,Paprika,Spices,Wood sorrel,Herbs
40,,,Peach,Fruits,Yoghurt,Dairy
41,,,Pine nut,Nut,Allspice,Spices
42,,,Pomegranate,Fruits,Amaretto,Alcohol
43,,,Potato,Vegetables,Anise,Spices
44,,,Raspberry,Berries,Apple cider vinegar,Vinegars
45,,,Sesame seed,Seeds,Apricot,Fruits
46,,,Spinach,Spices,Avocado,Vegetables
47,,,Timian,Herbs,Baileys,Alcohol
48,,,Yoghurt,Dairy,Basil,Herbs
49,,,Apricot,Fruits,Beer,Alcohol
50,,,Avocado,Vegetables,Beetroot,Vegetables
51,,,Bacon,Meats,Brown cheese,Cheeses
52,,,Balsamic vinegar,Vinegars,Buttermilk,Dairy
53,,,Beetroot,Vegetables,Carrot,Other
54,,,Bell pepper,Vegetables,Cashew,Nut
55,,,Bread,Other,Champagne,Alcohol
56,,,Brocolli,Vegetables,Cheddar,Cheeses
57,,,Caraway,Spices,Cherry,Berries
58,,,Carrot,Other,Chestnut,Nut
59,,,Chia seed,Seeds,Chia seed,Seeds
60,,,Chicken,Meats,Chili,Herbs
61,,,Chick pea,Vegetables,Chokeberry,Berries
62,,,Cocoa,Other,Cilantro,Herbs
63,,,Cranberry,Berries,Cloudberry,Berries
64,,,Cream cheese,Cheeses,Coconut sugar,Sugars
65,,,Cucumber,Vegetables,Cognac,Alcohol
66,,,Dill,Herbs,Cointreau,Liqueurs
67,,,Egg plant,Vegetables,Cranberry,Berries
68,,,Fennel,Vegetables,Cream,Dairy
69,,,Feta,Cheeses,Cream cheese,Cheeses
70,,,Goat cheese,Cheeses,Currant,Berries
71,,,Gooseberry,Berries,Dark rum,Alcohol
72,,,Grand Marnier,Alcohol,Fig,Fruits
73,,,Jamón,Meats,Flaxseed,Seeds
74,,,Kale,Vegetables,Gooseberry,Berries
75,,,Kiwi,Berries,Grand Marnier,Alcohol
76,,,Licorice,Candy,Grapefruit,Fruits
77,,,Mandarin,Fruits,Kiwi,Berries
78,,,Mango,Fruits,Lavender,Herbs
79,,,Maple syrup,Sugars,Lemon balm,Herbs
80,,,Mozzarella,Cheeses,Mango,Fruits
81,,,Oragano,Herbs,Maple syrup,Sugars
82,,,Pasta,Other,Matcha tea,Beverages
83,,,Pea,Vegetables,Nutella,Other
84,,,Pear,Fruits,Nutmeg,Spices
85,,,Pineapple,Fruits,Olive oil,Oils
86,,,Pistachio,Nut,Parmesan,Dairy
87,,,Plum,Berries,Passionfruit,Fruits
88,,,Pointed cabbage,Vegetables,Peach,Fruits
89,,,Pumpkin seed,Seeds,Peanit,Nut
90,,,Raisin,Fruits,Pear,Fruits
91,,,Red cabbage,Vegetables,Pecan,Nut
92,,,Redcurrant,Berries,Pepper,Spices
93,,,Rice,Other,Peppermint,Herbs
94,,,Ricotta,Cheeses,Pine needles,Other
95,,,Rosemary,Herbs,Pine nut,Nut
96,,,Rye bread,Other,Pineapple,Fruits
97,,,Saffron,Herbs,Plum,Berries
98,,,Salad,Other,Pomegranate,Fruits
99,,,Salmon,Meats,Poppy seed,Seeds
100,,,Smoked paprika,Spices,Portwine,Alcohol
101,,,Soy,Other,Potato,Vegetables
102,,,Spring onion,Vegetables,Prune,Fruits
103,,,Tahin,Other,Pumpkin seed,Seeds
104,,,Tarragon,Herbs,Red wine,Alcohol
105,,,Walnut,Nut,Rosewater,Other
106,,,White chocolate,Other,Rosemary,Herbs
107,,,Zucchini,Vegetables,Rum,Alcohol
108,,,,,Rye bread,Other
109,,,,,Saffron,Herbs
110,,,,,Sea buckthorn,Berries
111,,,,,Sesame seed,Seeds
112,,,,,Spinach,Spices
113,,,,,Star anise,Spices
114,,,,,Toasted coconut,Nut
115,,,,,Turmeric,Spices
116,,,,,Vodka,Alcohol
117,,,,,White rum,Alcohol
118,,,,,White wine,Alcohol
