Rank,Cocktail,Category,Sweet,Category
1,Rum,Alcohol,Almond,Nut
2,Lemon,Fruits,Marzipan,Other
3,Lime,Fruits,Dark chocolate,Other
4,Orange,Fruits,Lemon,Fruits
5,Tequila,Alcohol,Cinnamon,Spices
6,Agave nectar,Sugars,Strawberry,Berries
7,Baileys,Alcohol,Buttermilk,Dairy
8,Blueberry,Berries,Coffee,Beverages
9,Bourbon,Alcohol,Raspberry,Berries
10,Cognac,Alcohol,Rhubarb,Fruits
11,Cointreau,Liqueurs,Vanilla,Herbs
12,Cream,Dairy,White chocolate,Other
13,Dark rum,Alcohol,Wood sorrel,Herbs
14,Gin,Alcohol,Yoghurt,Dairy
15,Maraschino liqueur,Alcohol,Blackcurrant,Berries
16,Nutmeg,Spices,Blueberry,Berries
17,Rosemary,Herbs,Cardamom,Spices
18,Strawberry,Berries,Champagne,Alcohol
19,Vodka,Alcohol,Cocoa,Other
20,,,Cointreau,Liqueurs
21,,,Creme fraiche,Dairy
22,,,Ginger,Herbs
23,,,Gooseberry,Berries
24,,,Hazelnut,Nut
25,,,Mascarpone,Cheeses
26,,,Milk chocolate,Other
27,,,Passionfruit,Fruits
28,,,Pecan,Nut
29,,,Walnut,Nut
