Rank,Savory,Category
1,Olive oil,Oils
2,Garlic,Herbs
3,Capers,Other
4,Onion,Vegetables
5,Tomato,Vegetables
6,Parmesan,Dairy
7,Parsley,Herbs
8,Celery,Vegetables
9,Mustard,Condiments
10,Shallot,Vegetables
11,Balsamic vinegar,Vinegars
12,Bay leaf,Herbs
13,Chili,Herbs
14,Fennel seed,Spices
15,Flatleaf Parsley,Herbs
16,Lemon,Fruits
17,Oragano,Herbs
18,Red onion,Vegetables
19,Worcestershire sauce,Condiments
20,Brocolli,Vegetables
21,Carrot,Other
22,Cream,Dairy
23,Cucumber,Vegetables
24,Fennel,Vegetables
25,Ketchup,Condiments
26,Mint,Herbs
27,Nutmeg,Spices
28,Pea,Vegetables
29,Pepper,Spices
30,Potato,Vegetables
31,Red wine,Alcohol
32,Spring onion,Vegetables
33,Watercress,Vegetables
34,Yoghurt,Dairy
