Rank,Cocktail,Category
1,Lemon,Fruits
2,Lime,Fruits
3,Orange,Fruits
4,Bourbon,Alcohol
5,Orange bitter,Alcohol
6,Cherry,Berries
7,Mint,Herbs
8,Sweet vermouth,Alcohol
9,Pineapple,Fruits
10,Cinnamon,Spices
11,Gin,Alcohol
12,Nutmeg,Spices
13,Rye whiskey,Alcohol
14,Absinthe,Alcohol
15,Agave nectar,Sugars
16,Apple,Fruits
17,Beer,Alcohol
18,Bénédictine,Alcohol
19,Brandy,Alcohol
20,Calvados,Alcohol
21,Champagne,Alcohol
22,Cointreau,Liqueurs
23,Dark rum,Alcohol
24,Fernet Branca,Alcohol
25,Ginger ale,Beverages
26,Grapefruit,Fruits
27,Green chartreuse,Alcohol
28,Grenadine,Beverages
29,Honey,Sugars
30,Maple syrup,Sugars
31,Maraschino liqueur,Alcohol
32,Orange curaçao,Alcohol
33,Orgeat syrup,Other
34,Peychaud's Bitters,Alcohol
35,Pisco,Alcohol
36,St. Germain,Alcohol
37,Strawberry,Berries
38,Yellow chartreuse,Alcohol
39,Apple cider,Alcohol
40,Averna Amaro,Alcohol
41,Balsamic vinegar,Vinegars
42,Blackberry,Berries
43,Celery,Vegetables
44,Coffee,Beverages
45,Cognac,Alcohol
46,Dark chocolate,Other
47,Dry vermouth,Alcohol
48,Ginger,Herbs
49,Ginger beer,Beverages
50,Grand Marnier,Alcohol
51,Rosemary,Herbs
52,Scotch,Alcohol
53,Star anise,Spices
54,Tequila,Alcohol
