Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Vanilla,Herbs
2,Olive oil,Oils,Lemon,Fruits
3,Honey,Sugars,Rhubarb,Fruits
4,Mustard,Condiments,Cocoa,Other
5,Onion,Vegetables,Dark chocolate,Other
6,Garlic,Herbs,Licorice,Candy
7,Apple,Fruits,White chocolate,Other
8,Ginger,Herbs,Almond,Nut
9,Red onion,Vegetables,Apple,Fruits
10,Timian,Herbs,Buttermilk,Dairy
11,Tomato,Vegetables,Cardamom,Spices
12,Almond,Nut,Cilantro,Herbs
13,Arugula,Vegetables,Cinnamon,Spices
14,Bacon,Meats,Coconut,Nut
15,Bay leaf,Herbs,Cream cheese,Cheeses
16,Bell pepper,Vegetables,Maple syrup,Sugars
17,Brocolli,Vegetables,Marzipan,Other
18,Capers,Other,Passionfruit,Fruits
19,Cardamom,Spices,Portwine,Alcohol
20,Carrot,Other,Raspberry,Berries
21,Celery,Vegetables,Rum,Alcohol
22,Chicken,Meats,Squid ink,Other
23,Chili,Herbs,Strawberry,Berries
24,Chive,Herbs,Wood sorrel,Herbs
25,Cilantro,Herbs,,
26,Cinnamon,Spices,,
27,Cloves,Spices,,
28,Creme fraiche,Dairy,,
29,Cucumber,Vegetables,,
30,Cumin,Spices,,
31,Dill,Herbs,,
32,Feta,Cheeses,,
33,Kale,Vegetables,,
34,Ketchup,Condiments,,
35,Lemon,Fruits,,
36,Lime,Fruits,,
37,Mayonnaise,Condiments,,
38,Mint,Herbs,,
39,Paprika,Spices,,
40,Parmesan,Dairy,,
41,Parsley,Herbs,,
42,Pine nut,Nut,,
43,Pointed cabbage,Vegetables,,
44,Pomegranate,Fruits,,
45,Potato,Vegetables,,
46,Red cabbage,Vegetables,,
47,Rosemary,Herbs,,
48,Sesame seed,Seeds,,
49,Smoked paprika,Spices,,
50,Soy,Other,,
51,Spinach,Spices,,
52,Spring onion,Vegetables,,
53,Vanilla,Herbs,,
54,Walnut,Nut,,
55,Worcestershire sauce,Condiments,,
56,Zucchini,Vegetables,,
57,Allspice,Spices,,
58,Asparagus,Vegetables,,
59,Avocado,Vegetables,,
60,Balsamic vinegar,Vinegars,,
61,Banana,Fruits,,
62,Basil,Herbs,,
63,Bean sprout,Vegetables,,
64,Beef,Meats,,
65,Beetroot,Vegetables,,
66,Blackberry,Berries,,
67,Blood orange,Fruits,,
68,Blueberry,Berries,,
69,Bread,Other,,
70,Cauliflower,Vegetables,,
71,Cayenne pepper,Spices,,
72,Chicken stock,Other,,
73,Chick pea,Vegetables,,
74,Chorizo,Meats,,
75,Cocoa,Other,,
76,Coconut sugar,Sugars,,
77,Cranberry,Berries,,
78,Cream cheese,Cheeses,,
79,Curry,Spices,,
80,Edamame,Vegetables,,
81,Egg plant,Vegetables,,
82,Fennel,Vegetables,,
83,Fish sauce,Other,,
84,Garam masala,Spices,,
85,Goat cheese,Cheeses,,
86,Gooseberry,Berries,,
87,Grapefruit,Fruits,,
88,Hazelnut,Nut,,
89,Leek,Vegetables,,
90,Lemongrass,Herbs,,
91,Mango,Fruits,,
92,Maple syrup,Sugars,,
93,Mozzarella,Cheeses,,
94,Noodle,Other,,
95,Nutmeg,Spices,,
96,Orange,Fruits,,
97,Oragano,Herbs,,
98,Pasta,Other,,
99,Pea,Vegetables,,
100,Peach,Fruits,,
101,Peanit,Nut,,
102,Pear,Fruits,,
103,Pecan,Nut,,
104,Pickling vinegar,Vinegars,,
105,Plum,Berries,,
106,Portwine,Alcohol,,
107,Pumpkin,Vegetables,,
108,Pumpkin seed,Seeds,,
109,Raisin,Fruits,,
110,Red wine,Alcohol,,
111,Redcurrant,Berries,,
112,Rhubarb,Fruits,,
113,Rice,Other,,
114,Ricotta,Cheeses,,
115,Rye bread,Other,,
116,Salmon,Meats,,
117,Smoked salmon,Meats,,
118,Sourdough,Other,,
119,Star anise,Spices,,
120,Sundried tomato,Vegetables,,
121,Tahin,Other,,
122,Tarragon,Herbs,,
123,Turmeric,Spices,,
124,Watermelon,Fruits,,
