Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Lemon,Fruits
2,Garlic,Herbs,Marzipan,Other
3,Olive oil,Oils,Vanilla,Herbs
4,Lemon,Fruits,White chocolate,Other
5,Red onion,Vegetables,Almond,Nut
6,Honey,Sugars,Dark chocolate,Other
7,Mint,Herbs,Hazelnut,Nut
8,Mustard,Condiments,Cinnamon,Spices
9,Apple,Fruits,Cocoa,Other
10,Ginger,Herbs,Ginger,Herbs
11,Onion,Vegetables,Honey,Sugars
12,Parsley,Herbs,Lime,Fruits
13,Timian,Herbs,Pistachio,Nut
14,Chili,Herbs,Cardamom,Spices
15,Cilantro,Herbs,Cloves,Spices
16,Cinnamon,Spices,Coconut,Nut
17,Cucumber,Vegetables,Cranberry,Berries
18,Date,Fruits,Creme fraiche,Dairy
19,Mayonnaise,Condiments,Orange,Fruits
20,Orange,Fruits,Pecan,Nut
21,Pine nut,Nut,Prune,Fruits
22,Tomato,Vegetables,Raisin,Fruits
23,Turmeric,Spices,Strawberry,Berries
24,Walnut,Nut,Allspice,Spices
25,Almond,Nut,Apple,Fruits
26,Arugula,Vegetables,Avocado,Vegetables
27,Bacon,Meats,Baileys,Alcohol
28,Bay leaf,Herbs,Cashew,Nut
29,Beef,Meats,Cherry,Berries
30,Beetroot,Vegetables,Coffee,Beverages
31,Blackberry,Berries,Cognac,Alcohol
32,Cardamom,Spices,Condensed milk,Dairy
33,Carrot,Other,Cream cheese,Cheeses
34,Cauliflower,Vegetables,Currant,Berries
35,Cayenne pepper,Spices,Dark rum,Alcohol
36,Cheddar,Cheeses,Date,Fruits
37,Chick pea,Vegetables,Elderflower,Herbs
38,Cloves,Spices,Fig,Fruits
39,Cocoa,Other,Flaxseed,Seeds
40,Cumin,Spices,Gooseberry,Berries
41,Dill,Herbs,Grand Marnier,Alcohol
42,Elderberry,Berries,Mango,Fruits
43,Feta,Cheeses,Milk chocolate,Other
44,Kale,Vegetables,Nougat,Other
45,Mango,Fruits,Nutmeg,Spices
46,Maple syrup,Sugars,Passionfruit,Fruits
47,Paprika,Spices,Pepper,Spices
48,Parsley root,Vegetables,Pineapple,Fruits
49,Pickling vinegar,Vinegars,Portwine,Alcohol
50,Pineapple,Fruits,Pumpkin seed,Seeds
51,Pomegranate,Fruits,Rosemary,Herbs
52,Potato,Vegetables,Rum,Alcohol
53,Saffron,Herbs,Rye bread,Other
54,Salad,Other,Sea buckthorn,Berries
55,Smoked paprika,Spices,Vodka,Alcohol
56,Vanilla,Herbs,Walnut,Nut
57,Worcestershire sauce,Condiments,,
