Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Olive oil,Oils
2,Pepper,Spices,Balsamic vinegar,Vinegars
3,Garlic,Herbs,Courgette,Vegetables
4,Lemon,Fruits,Lemon,Fruits
5,Honey,Sugars,Mustard,Condiments
6,Pine nut,Nut,Onion,Vegetables
7,Red onion,Vegetables,Parsley,Herbs
8,Apple cider vinegar,Vinegars,Pepper,Spices
9,Avocado,Vegetables,Pine nut,Nut
10,Cucumber,Vegetables,Yoghurt,Dairy
11,Feta,Cheeses,,
12,Mustard,Condiments,,
13,Onion,Vegetables,,
14,Parmesan,Dairy,,
15,Parsley,Herbs,,
16,Tomato,Vegetables,,
17,Almond,Nut,,
18,Balsamic vinegar,Vinegars,,
19,Basil,Herbs,,
20,Blueberry,Berries,,
21,Capers,Other,,
22,Carrot,Other,,
23,Chick pea,Vegetables,,
24,Chili,Herbs,,
25,Chorizo,Meats,,
26,Cilantro,Herbs,,
27,Creme fraiche,Dairy,,
28,Cumin,Spices,,
29,Dill,Herbs,,
30,Edamame,Vegetables,,
31,Fennel,Vegetables,,
32,Lime,Fruits,,
33,Mayonnaise,Condiments,,
34,Mint,Herbs,,
35,Mozzarella,Cheeses,,
36,Oragano,Herbs,,
37,Potato,Vegetables,,
38,Rosemary,Herbs,,
39,Sesame seed,Seeds,,
40,Spinach,Spices,,
41,Tahin,Other,,
42,Timian,Herbs,,
43,Apple,Fruits,,
44,Apricot,Fruits,,
45,Asparagus,Vegetables,,
46,Bacon,Meats,,
47,Bay leaf,Herbs,,
48,Beef,Meats,,
49,Beetroot,Vegetables,,
50,Bell pepper,Vegetables,,
51,Blood orange,Fruits,,
52,Buttermilk,Dairy,,
53,Cardamom,Spices,,
54,Cashew,Nut,,
55,Cauliflower,Vegetables,,
56,Cayenne pepper,Spices,,
57,Celery,Vegetables,,
58,Cheddar,Cheeses,,
59,Chicken,Meats,,
60,Chive,Herbs,,
61,Cinnamon,Spices,,
62,Coriander seed,Other,,
63,Cranberry,Berries,,
64,Cream cheese,Cheeses,,
65,Curry,Spices,,
66,Fennel seed,Spices,,
67,Fish sauce,Other,,
68,Flatleaf Parsley,Herbs,,
69,Ginger,Herbs,,
70,Goat cheese,Cheeses,,
71,Grapefruit,Fruits,,
72,Hazelnut,Nut,,
73,Jamón,Meats,,
74,Kale,Vegetables,,
75,Leek,Vegetables,,
76,Lemongrass,Herbs,,
77,Mango,Fruits,,
78,Maple syrup,Sugars,,
79,Noodle,Other,,
80,Nutmeg,Spices,,
81,Orange,Fruits,,
82,Paprika,Spices,,
83,Pea,Vegetables,,
84,Peach,Fruits,,
85,Pear,Fruits,,
86,Pecan,Nut,,
87,Pickling vinegar,Vinegars,,
88,Pineapple,Fruits,,
89,Pistachio,Nut,,
90,Pointed cabbage,Vegetables,,
91,Pomegranate,Fruits,,
92,Pumpkin seed,Seeds,,
93,Rhubarb,Fruits,,
94,Rice,Other,,
95,Ricotta,Cheeses,,
96,Rye bread,Other,,
97,Sage,Herbs,,
98,Salmon,Meats,,
99,Shallot,Vegetables,,
100,Smoked paprika,Spices,,
101,Soy,Other,,
102,Spring onion,Vegetables,,
103,Strawberry,Berries,,
104,Sundried tomato,Vegetables,,
105,Turmeric,Spices,,
106,Vanilla,Herbs,,
107,Vegetable stock,Other,,
108,Walnut,Nut,,
109,Watermelon,Fruits,,
110,White wine vinegar,Vinegars,,
111,Worcestershire sauce,Condiments,,
112,Yoghurt,Dairy,,
113,Zucchini,Vegetables,,
