Rank,Savory,Category
1,Olive oil,Oils
2,Pepper,Spices
3,Lemon,Fruits
4,Dill,Herbs
5,Onion,Vegetables
6,Creme fraiche,Dairy
7,Mustard,Condiments
8,Potato,Vegetables
9,Mayonnaise,Condiments
10,Spring onion,Vegetables
11,Bacon,Meats
12,Carrot,Other
13,Garlic,Herbs
14,Honey,Sugars
15,Parmesan,Dairy
16,Pea,Vegetables
17,Red onion,Vegetables
18,Tomato,Vegetables
19,Apple,Fruits
20,Apple cider vinegar,Vinegars
21,Arugula,Vegetables
22,Avocado,Vegetables
23,Bay leaf,Herbs
24,Bell pepper,Vegetables
25,Bread,Other
26,Cayenne pepper,Spices
27,Celeriac,Vegetables
28,Celery,Vegetables
29,Chicken stock,Other
30,Chili,Herbs
31,Chive,Herbs
32,Cucumber,Vegetables
33,Egg plant,Vegetables
34,Fennel,Vegetables
35,Fish sauce,Other
36,Goat cheese,Cheeses
37,Lime,Fruits
38,Orange,Fruits
39,Paprika,Spices
40,Parsley,Herbs
41,Pasta,Other
42,Pine nut,Nut
43,Pointed cabbage,Vegetables
44,Rhubarb,Fruits
45,Rye bread,Other
46,Smoked paprika,Spices
47,Smoked salmon,Meats
48,Spinach,Spices
49,Timian,Herbs
50,White wine,Alcohol
51,White wine vinegar,Vinegars
52,Worcestershire sauce,Condiments
53,Yoghurt,Dairy
54,Zucchini,Vegetables
