Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Vanilla,Herbs
2,Garlic,Herbs,Honey,Sugars
3,Cilantro,Herbs,Lime,Fruits
4,Pepper,Spices,Chili,Herbs
5,Tomato,Vegetables,Hazelnut,Nut
6,Lime,Fruits,Lemon,Fruits
7,Red onion,Vegetables,Apricot,Fruits
8,Chili,Herbs,Blueberry,Berries
9,Cumin,Spices,Cinnamon,Spices
10,Lemon,Fruits,Cocoa,Other
11,Onion,Vegetables,Date,Fruits
12,Bell pepper,Vegetables,Garlic,Herbs
13,Cheddar,Cheeses,Marzipan,Other
14,Creme fraiche,Dairy,Pepper,Spices
15,Cucumber,Vegetables,Almond,Nut
16,Mayonnaise,Condiments,Apple,Fruits
17,Mustard,Condiments,Buttermilk,Dairy
18,Smoked paprika,Spices,Cardamom,Spices
19,Arugula,Vegetables,Cayenne pepper,Spices
20,Balsamic vinegar,Vinegars,Cloves,Spices
21,Bean,Vegetables,Coconut,Nut
22,Carrot,Other,Cream,Dairy
23,Cayenne pepper,Spices,Creme fraiche,Dairy
24,Chicken,Meats,Cumin,Spices
25,Chick pea,Vegetables,Mayonnaise,Condiments
26,Cinnamon,Spices,Olive oil,Oils
27,Corn,Vegetables,Orange,Fruits
28,Dill,Herbs,Oragano,Herbs
29,Edamame,Vegetables,Paprika,Spices
30,Feta,Cheeses,Red onion,Vegetables
31,Ginger,Herbs,Rum,Alcohol
32,Honey,Sugars,Rye bread,Other
33,Mint,Herbs,Strawberry,Berries
34,Oragano,Herbs,White chocolate,Other
35,Paprika,Spices,Yoghurt,Dairy
36,Parsley,Herbs,,
37,Pine nut,Nut,,
38,Pointed cabbage,Vegetables,,
39,Potato,Vegetables,,
40,Sesame seed,Seeds,,
41,Soy,Other,,
42,Spinach,Spices,,
43,Spring onion,Vegetables,,
44,Tahin,Other,,
45,Zucchini,Vegetables,,
46,Allspice,Spices,,
47,Almond,Nut,,
48,Apple,Fruits,,
49,Apple cider vinegar,Vinegars,,
50,Asparagus,Vegetables,,
51,Bacon,Meats,,
52,Banana,Fruits,,
53,Basil,Herbs,,
54,Bay leaf,Herbs,,
55,Bean sprout,Vegetables,,
56,Beef,Meats,,
57,Beetroot,Vegetables,,
58,Bread,Other,,
59,Brocolli,Vegetables,,
60,Buttermilk,Dairy,,
61,Capers,Other,,
62,Cardamom,Spices,,
63,Celery,Vegetables,,
64,Cherry,Berries,,
65,Chia seed,Seeds,,
66,Chive,Herbs,,
67,Cloves,Spices,,
68,Cocoa,Other,,
69,Coconut,Nut,,
70,Coriander seed,Other,,
71,Courgette,Vegetables,,
72,Cream,Dairy,,
73,Cream cheese,Cheeses,,
74,Curry,Spices,,
75,Dark chocolate,Other,,
76,Date,Fruits,,
77,Egg plant,Vegetables,,
78,Fennel,Vegetables,,
79,Fennel seed,Spices,,
80,Fish sauce,Other,,
81,Flatleaf Parsley,Herbs,,
82,Garam masala,Spices,,
83,Grapefruit,Fruits,,
84,Kale,Vegetables,,
85,Ketchup,Condiments,,
86,Mango,Fruits,,
87,Maple syrup,Sugars,,
88,Mozzarella,Cheeses,,
89,Mushroom,Vegetables,,
90,Orange,Fruits,,
91,Parmesan,Dairy,,
92,Pea,Vegetables,,
93,Pistachio,Nut,,
94,Pumpkin seed,Seeds,,
95,Rapeseed oil,Oils,,
96,Red cabbage,Vegetables,,
97,Red wine,Alcohol,,
98,Rice,Other,,
99,Rye bread,Other,,
100,Salad,Other,,
101,Salmon,Meats,,
102,Sesame oil,Oils,,
103,Shallot,Vegetables,,
104,Smoked salmon,Meats,,
105,Strawberry,Berries,,
106,Sundried tomato,Vegetables,,
107,Sweet potato,Vegetables,,
108,Tarragon,Herbs,,
109,Timian,Herbs,,
110,Turmeric,Spices,,
111,Vanilla,Herbs,,
112,Walnut,Nut,,
113,Watercress,Vegetables,,
114,Watermelon,Fruits,,
115,White wine vinegar,Vinegars,,
116,Worcestershire sauce,Condiments,,
117,Yoghurt,Dairy,,
