Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Vodka,Alcohol,Pepper,Spices,Maple syrup,Sugars
2,,,Onion,Vegetables,Cream cheese,Cheeses
3,,,Garlic,Herbs,Lemon,Fruits
4,,,Olive oil,Oils,Pecan,Nut
5,,,Timian,Herbs,Dark chocolate,Other
6,,,Potato,Vegetables,Date,Fruits
7,,,Tomato,Vegetables,Honey,Sugars
8,,,Bay leaf,Herbs,Ketchup,Condiments
9,,,Carrot,Other,Marshmallow,Candy
10,,,Chive,Herbs,Marzipan,Other
11,,,Creme fraiche,Dairy,Smoked paprika,Spices
12,,,Honey,Sugars,Soy,Other
13,,,Lemon,Fruits,Spinach,Spices
14,,,Mayonnaise,Condiments,White chocolate,Other
15,,,Mushroom,Vegetables,,
16,,,Mustard,Condiments,,
17,,,Parmesan,Dairy,,
18,,,Parsley,Herbs,,
19,,,Red onion,Vegetables,,
20,,,Apple,Fruits,,
21,,,Apple cider vinegar,Vinegars,,
22,,,Beef,Meats,,
23,,,Beetroot,Vegetables,,
24,,,Bell pepper,Vegetables,,
25,,,Brocolli,Vegetables,,
26,,,Celeriac,Vegetables,,
27,,,Celery,Vegetables,,
28,,,Chicken,Meats,,
29,,,Chili,Herbs,,
30,,,Cloves,Spices,,
31,,,Cumin,Spices,,
32,,,Curry,Spices,,
33,,,Dill,Herbs,,
34,,,Fennel,Vegetables,,
35,,,Leek,Vegetables,,
36,,,Nutmeg,Spices,,
37,,,Oragano,Herbs,,
38,,,Paprika,Spices,,
39,,,Pasta,Other,,
40,,,Red wine,Alcohol,,
41,,,Rosemary,Herbs,,
42,,,Rye bread,Other,,
43,,,Sesame seed,Seeds,,
44,,,Smoked paprika,Spices,,
45,,,Spring onion,Vegetables,,
46,,,Sundried tomato,Vegetables,,
47,,,White wine,Alcohol,,
48,,,Worcestershire sauce,Condiments,,
49,,,Zucchini,Vegetables,,
50,,,Allspice,Spices,,
51,,,Almond,Nut,,
52,,,Apple vinegar,Vinegars,,
53,,,Apricot,Fruits,,
54,,,Arugula,Vegetables,,
55,,,Asparagus,Vegetables,,
56,,,Avocado,Vegetables,,
57,,,Balsamic vinegar,Vinegars,,
58,,,Basil,Herbs,,
59,,,Bean sprout,Vegetables,,
60,,,Beer,Alcohol,,
61,,,Bergamot,Fruits,,
62,,,Bread,Other,,
63,,,Buttermilk,Dairy,,
64,,,Capers,Other,,
65,,,Cardamom,Spices,,
66,,,Cauliflower,Vegetables,,
67,,,Cheddar,Cheeses,,
68,,,Chicken stock,Other,,
69,,,Chorizo,Meats,,
70,,,Cilantro,Herbs,,
71,,,Cinnamon,Spices,,
72,,,Coconut,Nut,,
73,,,Coconut sugar,Sugars,,
74,,,Cognac,Alcohol,,
75,,,Cranberry,Berries,,
76,,,Cream cheese,Cheeses,,
77,,,Cucumber,Vegetables,,
78,,,Date,Fruits,,
79,,,Edamame,Vegetables,,
80,,,Fish sauce,Other,,
81,,,Flaxseed,Seeds,,
82,,,Ginger,Herbs,,
83,,,Goat cheese,Cheeses,,
84,,,Hazelnut,Nut,,
85,,,Kale,Vegetables,,
86,,,Ketchup,Condiments,,
87,,,Lime,Fruits,,
88,,,Mango,Fruits,,
89,,,Maple syrup,Sugars,,
90,,,Mint,Herbs,,
91,,,Mozzarella,Cheeses,,
92,,,Noodle,Other,,
93,,,Parsley root,Vegetables,,
94,,,Pear,Fruits,,
95,,,Pineapple,Fruits,,
96,,,Pistachio,Nut,,
97,,,Pointed cabbage,Vegetables,,
98,,,Pomegranate,Fruits,,
99,,,Pork,Meats,,
100,,,Rhubarb,Fruits,,
101,,,Ricotta,Cheeses,,
102,,,Sage,Herbs,,
103,,,Sourdough,Other,,
104,,,Soy,Other,,
105,,,Spinach,Spices,,
106,,,Tarragon,Herbs,,
107,,,Turmeric,Spices,,
108,,,Walnut,Nut,,
109,,,White wine vinegar,Vinegars,,
110,,,Wood sorrel,Herbs,,
111,,,Yoghurt,Dairy,,
