Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cream,Dairy,Dark chocolate,Other,Vanilla,Herbs
2,Beer,Alcohol,Hazelnut,Nut,Almond,Nut
3,Amaretto,Alcohol,Milk chocolate,Other,Apricot,Fruits
4,Kahlua,Alcohol,Nougat,Other,Cashew,Nut
5,Vodka,Alcohol,Raspberry,Berries,Coffee,Beverages
6,Whipped Cream,Dairy,White chocolate,Other,Cream cheese,Cheeses
7,,,,,Dark chocolate,Other
8,,,,,Hazelnut,Nut
9,,,,,Lemon,Fruits
10,,,,,Lime,Fruits
11,,,,,Marzipan,Other
12,,,,,Milk chocolate,Other
13,,,,,Nutmeg,Spices
14,,,,,Raisin,Fruits
15,,,,,Raspberry,Berries
16,,,,,Rhubarb,Fruits
17,,,,,Sesame seed,Seeds
18,,,,,White chocolate,Other
