Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Angostura,Alcohol,Olive oil,Oils,Olive oil,Oils
2,Blackberry,Berries,Garlic,Herbs,Onion,Vegetables
3,Carrot,Other,Pepper,Spices,Blackberry,Berries
4,Celery,Vegetables,Red onion,Vegetables,Garlic,Herbs
5,Garlic,Herbs,Onion,Vegetables,Lemon,Fruits
6,Gin,Alcohol,Tomato,Vegetables,Milk chocolate,Other
7,Lemon,Fruits,Chili,Herbs,Mustard,Condiments
8,Lime,Fruits,Honey,Sugars,Soy,Other
9,Tabasco,Condiments,Mustard,Condiments,Vanilla,Herbs
10,Tomato,Vegetables,Basil,Herbs,Yoghurt,Dairy
11,Worcestershire sauce,Condiments,Carrot,Other,Arugula,Vegetables
12,,,Lemon,Fruits,Blackcurrant,Berries
13,,,Oragano,Herbs,Brocolli,Vegetables
14,,,Parmesan,Dairy,Cardamom,Spices
15,,,Parsley,Herbs,Carrot,Other
16,,,Timian,Herbs,Celery,Vegetables
17,,,Arugula,Vegetables,Cinnamon,Spices
18,,,Avocado,Vegetables,Cocoa,Other
19,,,Bay leaf,Herbs,Condensed milk,Dairy
20,,,Beef stock,Other,Courgette,Vegetables
21,,,Bell pepper,Vegetables,Dark chocolate,Other
22,,,Cauliflower,Vegetables,Ginger,Herbs
23,,,Cayenne pepper,Spices,Hazelnut,Nut
24,,,Celery,Vegetables,Honey,Sugars
25,,,Chicken stock,Other,Kale,Vegetables
26,,,Chorizo,Meats,Leek,Vegetables
27,,,Cilantro,Herbs,Mayonnaise,Condiments
28,,,Cream,Dairy,Nutmeg,Spices
29,,,Cumin,Spices,Pecan,Nut
30,,,Flatleaf Parsley,Herbs,Red onion,Vegetables
31,,,Maple syrup,Sugars,Smoked paprika,Spices
32,,,Mushroom,Vegetables,Tomato,Vegetables
33,,,Potato,Vegetables,Watercress,Vegetables
34,,,Red wine,Alcohol,White wine vinegar,Vinegars
35,,,Shallot,Vegetables,,
36,,,Smoked paprika,Spices,,
37,,,Spring onion,Vegetables,,
38,,,White wine,Alcohol,,
39,,,Worcestershire sauce,Condiments,,
40,,,Almond,Nut,,
41,,,Anchovy,Meats,,
42,,,Apple,Fruits,,
43,,,Apple cider vinegar,Vinegars,,
44,,,Bacon,Meats,,
45,,,Beef,Meats,,
46,,,Blackberry,Berries,,
47,,,Brocolli,Vegetables,,
48,,,Buttermilk,Dairy,,
49,,,Capers,Other,,
50,,,Cheddar,Cheeses,,
51,,,Chick pea,Vegetables,,
52,,,Cinnamon,Spices,,
53,,,Cloves,Spices,,
54,,,Coconut,Nut,,
55,,,Coriander seed,Other,,
56,,,Courgette,Vegetables,,
57,,,Cranberry,Berries,,
58,,,Creme fraiche,Dairy,,
59,,,Cucumber,Vegetables,,
60,,,Curry,Spices,,
61,,,Dark chocolate,Other,,
62,,,Dill,Herbs,,
63,,,Egg plant,Vegetables,,
64,,,Fennel,Vegetables,,
65,,,Feta,Cheeses,,
66,,,Fig,Fruits,,
67,,,Ginger,Herbs,,
68,,,Grapefruit,Fruits,,
69,,,Hazelnut,Nut,,
70,,,Kale,Vegetables,,
71,,,Ketchup,Condiments,,
72,,,Lime,Fruits,,
73,,,Marsala,Alcohol,,
74,,,Mayonnaise,Condiments,,
75,,,Mint,Herbs,,
76,,,Mozzarella,Cheeses,,
77,,,Orange,Fruits,,
78,,,Paprika,Spices,,
79,,,Pea,Vegetables,,
80,,,Pear,Fruits,,
81,,,Pine nut,Nut,,
82,,,Pointed cabbage,Vegetables,,
83,,,Pomegranate,Fruits,,
84,,,Pork,Meats,,
85,,,Portwine,Alcohol,,
86,,,Raisin,Fruits,,
87,,,Rapeseed oil,Oils,,
88,,,Red cabbage,Vegetables,,
89,,,Rice,Other,,
90,,,Rosemary,Herbs,,
91,,,Sage,Herbs,,
92,,,Soy,Other,,
93,,,Spinach,Spices,,
94,,,Star anise,Spices,,
95,,,Tahin,Other,,
96,,,Turmeric,Spices,,
97,,,Vegetable stock,Other,,
98,,,Walnut,Nut,,
99,,,Watercress,Vegetables,,
100,,,Yoghurt,Dairy,,
101,,,Zucchini,Vegetables,,
