Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Light rum,Alcohol,Vanilla,Herbs,Vanilla,Herbs
2,Pineapple,Fruits,Cardamom,Spices,Dark chocolate,Other
3,Cardamom,Spices,Cinnamon,Spices,Cinnamon,Spices
4,Coconut,Nut,Honey,Sugars,Almond,Nut
5,Cream,Dairy,Almond,Nut,Lemon,Fruits
6,Honey,Sugars,Ginger,Herbs,Orange,Fruits
7,Strawberry,Berries,Mint,Herbs,Strawberry,Berries
8,,,Orange,Fruits,Cardamom,Spices
9,,,Spinach,Spices,Cocoa,Other
10,,,Apple,Fruits,Honey,Sugars
11,,,Avocado,Vegetables,Licorice,Candy
12,,,Chia seed,Seeds,Blueberry,Berries
13,,,Coconut,Nut,Cashew,Nut
14,,,Dark chocolate,Other,Coconut,Nut
15,,,Date,Fruits,Date,Fruits
16,,,Mango,Fruits,Ginger,Herbs
17,,,Olive oil,Oils,Hazelnut,Nut
18,,,Onion,Vegetables,Mango,Fruits
19,,,Pineapple,Fruits,Maple syrup,Sugars
20,,,Raspberry,Berries,Mint,Herbs
21,,,Strawberry,Berries,Raspberry,Berries
22,,,Blueberry,Berries,White chocolate,Other
23,,,Brocolli,Vegetables,Yoghurt,Dairy
24,,,Buttermilk,Dairy,Apple,Fruits
25,,,Chili,Herbs,Basil,Herbs
26,,,Cilantro,Herbs,Buttermilk,Dairy
27,,,Cocoa,Other,Cilantro,Herbs
28,,,Cucumber,Vegetables,Cognac,Alcohol
29,,,Cumin,Spices,Condensed milk,Dairy
30,,,Curry,Spices,Creme fraiche,Dairy
31,,,Flaxseed,Seeds,Dark rum,Alcohol
32,,,Garlic,Herbs,Elderflower,Herbs
33,,,Lemon,Fruits,Flaxseed,Seeds
34,,,Lime,Fruits,Lime,Fruits
35,,,Maple syrup,Sugars,Marshmallow,Candy
36,,,Parsley,Herbs,Marzipan,Other
37,,,Peanut butter,Nut,Mascarpone,Cheeses
38,,,Pear,Fruits,Milk chocolate,Other
39,,,Pepper,Spices,Nutella,Other
40,,,Rice,Other,Olive oil,Oils
41,,,Yoghurt,Dairy,Passionfruit,Fruits
42,,,Allspice,Spices,Peach,Fruits
43,,,Apple cider vinegar,Vinegars,Peanit,Nut
44,,,Beef,Meats,Peanut butter,Nut
45,,,Cashew,Nut,Pear,Fruits
46,,,Chicken,Meats,Pecan,Nut
47,,,Chicken stock,Other,Pineapple,Fruits
48,,,Cloves,Spices,Pistachio,Nut
49,,,Edamame,Vegetables,Plum,Berries
50,,,Fennel,Vegetables,Pomegranate,Fruits
51,,,Kale,Vegetables,Poppy seed,Seeds
52,,,Kiwi,Berries,Raisin,Fruits
53,,,Licorice,Candy,Rum,Alcohol
54,,,Mandarin,Fruits,Walnut,Nut
55,,,Matcha tea,Beverages,,
56,,,Nutmeg,Spices,,
57,,,Passionfruit,Fruits,,
58,,,Pecan,Nut,,
59,,,Pickling vinegar,Vinegars,,
60,,,Pomegranate,Fruits,,
61,,,Pork,Meats,,
62,,,Raisin,Fruits,,
63,,,Rye bread,Other,,
64,,,Sesame seed,Seeds,,
65,,,Turmeric,Spices,,
