Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Garlic,Herbs,White chocolate,Other
2,Vodka,Alcohol,Olive oil,Oils,Vanilla,Herbs
3,Cherry,Berries,Tomato,Vegetables,Almond,Nut
4,Cucumber,Vegetables,Pepper,Spices,Lemon,Fruits
5,Elderflower,Herbs,Onion,Vegetables,Lime,Fruits
6,Green chartreuse,Alcohol,Parmesan,Dairy,Strawberry,Berries
7,Rhubarb,Fruits,Lemon,Fruits,Cinnamon,Spices
8,Vanilla,Herbs,Balsamic vinegar,Vinegars,Dark chocolate,Other
9,,,Carrot,Other,Hazelnut,Nut
10,,,Chili,Herbs,Marzipan,Other
11,,,Mozzarella,Cheeses,Mascarpone,Cheeses
12,,,Pine nut,Nut,Pistachio,Nut
13,,,Arugula,Vegetables,Wood sorrel,Herbs
14,,,Beef,Meats,Banana,Fruits
15,,,Bell pepper,Vegetables,Cashew,Nut
16,,,Capers,Other,Cilantro,Herbs
17,,,Celery,Vegetables,Cocoa,Other
18,,,Chive,Herbs,Cream cheese,Cheeses
19,,,Chorizo,Meats,Creme fraiche,Dairy
20,,,Cilantro,Herbs,Elderflower,Herbs
21,,,Creme fraiche,Dairy,Ginger,Herbs
22,,,Cucumber,Vegetables,Mango,Fruits
23,,,Egg plant,Vegetables,Nougat,Other
24,,,Ginger,Herbs,Raspberry,Berries
25,,,Honey,Sugars,Rhubarb,Fruits
26,,,Lemongrass,Herbs,Vodka,Alcohol
27,,,Lime,Fruits,Yoghurt,Dairy
28,,,Mushroom,Vegetables,,
29,,,Mustard,Condiments,,
30,,,Nutmeg,Spices,,
31,,,Oragano,Herbs,,
32,,,Parsley,Herbs,,
33,,,Pasta,Other,,
34,,,Potato,Vegetables,,
35,,,Red onion,Vegetables,,
36,,,Ricotta,Cheeses,,
37,,,Rosemary,Herbs,,
38,,,Sesame seed,Seeds,,
39,,,Spinach,Spices,,
40,,,Spring onion,Vegetables,,
41,,,Sundried tomato,Vegetables,,
42,,,Timian,Herbs,,
43,,,White wine,Alcohol,,
44,,,Zucchini,Vegetables,,
45,,,Allspice,Spices,,
46,,,Almond,Nut,,
47,,,Apple,Fruits,,
48,,,Apple cider vinegar,Vinegars,,
49,,,Avocado,Vegetables,,
50,,,Bacon,Meats,,
51,,,Bay leaf,Herbs,,
52,,,Bean sprout,Vegetables,,
53,,,Blackberry,Berries,,
54,,,Celeriac,Vegetables,,
55,,,Cheddar,Cheeses,,
56,,,Chicken,Meats,,
57,,,Chicken stock,Other,,
58,,,Coconut,Nut,,
59,,,Coconut sugar,Sugars,,
60,,,Cognac,Alcohol,,
61,,,Coriander seed,Other,,
62,,,Courgette,Vegetables,,
63,,,Cream,Dairy,,
64,,,Cream cheese,Cheeses,,
65,,,Cumin,Spices,,
66,,,Dark chocolate,Other,,
67,,,Dill,Herbs,,
68,,,Fennel seed,Spices,,
69,,,Feta,Cheeses,,
70,,,Fig,Fruits,,
71,,,Fish sauce,Other,,
72,,,Flaxseed,Seeds,,
73,,,Goat cheese,Cheeses,,
74,,,Hazelnut,Nut,,
75,,,Jamón,Meats,,
76,,,Ketchup,Condiments,,
77,,,Leek,Vegetables,,
78,,,Maple syrup,Sugars,,
79,,,Marsala,Alcohol,,
80,,,Mascarpone,Cheeses,,
81,,,Mayonnaise,Condiments,,
82,,,Mint,Herbs,,
83,,,Orange,Fruits,,
84,,,Pea,Vegetables,,
85,,,Peach,Fruits,,
86,,,Peanit,Nut,,
87,,,Pear,Fruits,,
88,,,Pecan,Nut,,
89,,,Pistachio,Nut,,
90,,,Pomegranate,Fruits,,
91,,,Pumpkin,Vegetables,,
92,,,Pumpkin seed,Seeds,,
93,,,Rapeseed oil,Oils,,
94,,,Red cabbage,Vegetables,,
95,,,Red wine,Alcohol,,
96,,,Rye bread,Other,,
97,,,Sage,Herbs,,
98,,,Salad,Other,,
99,,,Salmon,Meats,,
100,,,Shallot,Vegetables,,
101,,,Smoked paprika,Spices,,
102,,,Smoked salmon,Meats,,
103,,,Sourdough,Other,,
104,,,Tarragon,Herbs,,
105,,,Walnut,Nut,,
106,,,White wine vinegar,Vinegars,,
107,,,Worcestershire sauce,Condiments,,
108,,,Yoghurt,Dairy,,
