Rank,Savory,Category
1,Spring onion,Vegetables
2,Chili,Herbs
3,Garlic,Herbs
4,Lime,Fruits
5,Ginger,Herbs
6,Carrot,Other
7,Cilantro,Herbs
8,Onion,Vegetables
9,Soy,Other
10,Chicken,Meats
11,Fish sauce,Other
12,Mushroom,Vegetables
13,Noodle,Other
14,Olive oil,Oils
15,Apple cider vinegar,Vinegars
16,Coconut,Nut
17,Honey,Sugars
18,Mint,Herbs
19,Red onion,Vegetables
20,Spinach,Spices
21,Avocado,Vegetables
22,Bacon,Meats
23,Basil,Herbs
24,Beef,Meats
25,Bell pepper,Vegetables
26,Bread,Other
27,Brocolli,Vegetables
28,Cashew,Nut
29,Celery,Vegetables
30,Chive,Herbs
31,Cinnamon,Spices
32,Cloves,Spices
33,Coconut sugar,Sugars
34,Cucumber,Vegetables
35,Ketchup,Condiments
36,Leek,Vegetables
37,Lemon,Fruits
38,Lemongrass,Herbs
39,Mango,Fruits
40,Parmesan,Dairy
41,Peanit,Nut
42,Pepper,Spices
43,Pointed cabbage,Vegetables
44,Potato,Vegetables
45,Rice,Other
46,Salad,Other
47,Timian,Herbs
48,Tomato,Vegetables
49,Turmeric,Spices
50,Zucchini,Vegetables
