Rank,Savory,Category
1,Cumin,Spices
2,Garlic,Herbs
3,Olive oil,Oils
4,Onion,Vegetables
5,Pepper,Spices
6,Tomato,Vegetables
7,Cilantro,Herbs
8,Cheddar,Cheeses
9,Chili,Herbs
10,Smoked paprika,Spices
11,Zucchini,Vegetables
12,Avocado,Vegetables
13,Cinnamon,Spices
14,Corn,Vegetables
15,Creme fraiche,Dairy
16,Lime,Fruits
17,Beef,Meats
18,Bell pepper,Vegetables
19,Celery,Vegetables
20,Red onion,Vegetables
21,Carrot,Other
22,Cayenne pepper,Spices
23,Chicken,Meats
24,Cucumber,Vegetables
25,Curry,Spices
26,Dark chocolate,Other
27,Oragano,Herbs
28,Rice,Other
29,Sundried tomato,Vegetables
30,Cardamom,Spices
31,Chick pea,Vegetables
32,Egg plant,Vegetables
33,Ginger,Herbs
34,Paprika,Spices
35,Parsley,Herbs
36,Potato,Vegetables
37,Salad,Other
