Rank,Savory,Category
1,Tomato,Vegetables
2,Onion,Vegetables
3,Garlic,Herbs
4,Olive oil,Oils
5,Carrot,Other
6,Red wine,Alcohol
7,Balsamic vinegar,Vinegars
8,Celery,Vegetables
9,Mushroom,Vegetables
10,Worcestershire sauce,Condiments
11,Bay leaf,Herbs
12,Cheddar,Cheeses
13,Chili,Herbs
14,Cilantro,Herbs
15,Cream,Dairy
16,Mustard,Condiments
17,Oragano,Herbs
18,Parsley,Herbs
19,Red onion,Vegetables
20,Rosemary,Herbs
21,Shallot,Vegetables
22,Timian,Herbs
23,Beer,Alcohol
24,Bell pepper,Vegetables
25,Buttermilk,Dairy
26,Cauliflower,Vegetables
27,Chicken stock,Other
28,Cinnamon,Spices
29,Cloves,Spices
30,Cumin,Spices
31,Fennel seed,Spices
32,Flatleaf Parsley,Herbs
33,Ginger,Herbs
34,Ketchup,Condiments
35,Leek,Vegetables
36,Nutmeg,Spices
37,Parmesan,Dairy
38,Pea,Vegetables
39,Pepper,Spices
40,White wine vinegar,Vinegars
