Rank,Savory,Category
1,Onion,Vegetables
2,Garlic,Herbs
3,Olive oil,Oils
4,Pepper,Spices
5,Tomato,Vegetables
6,Carrot,Other
7,Timian,Herbs
8,Bacon,Meats
9,Celery,Vegetables
10,Cumin,Spices
11,Mozzarella,Cheeses
12,Oragano,Herbs
13,Paprika,Spices
14,Parmesan,Dairy
15,Potato,Vegetables
16,Red onion,Vegetables
17,Zucchini,Vegetables
18,Avocado,Vegetables
19,Balsamic vinegar,Vinegars
20,Basil,Herbs
21,Bay leaf,Herbs
22,Bean,Vegetables
23,Bell pepper,Vegetables
24,Cheddar,Cheeses
25,Chili,Herbs
26,Cilantro,Herbs
27,Cinnamon,Spices
28,Cloves,Spices
29,Creme fraiche,Dairy
30,Cucumber,Vegetables
31,Egg plant,Vegetables
32,Honey,Sugars
33,Ketchup,Condiments
34,Leek,Vegetables
35,Lemon,Fruits
36,Lime,Fruits
37,Mayonnaise,Condiments
38,Mushroom,Vegetables
39,Mustard,Condiments
40,Nutmeg,Spices
41,Parsley,Herbs
42,Pasta,Other
43,Red wine,Alcohol
44,Rosemary,Herbs
45,Sesame seed,Seeds
46,Smoked paprika,Spices
47,Sundried tomato,Vegetables
48,White wine,Alcohol
49,Worcestershire sauce,Condiments
50,Apple,Fruits
51,Apple cider vinegar,Vinegars
52,Apricot,Fruits
53,Arugula,Vegetables
54,Banana,Fruits
55,Bean sprout,Vegetables
56,Beetroot,Vegetables
57,Bread,Other
58,Capers,Other
59,Cardamom,Spices
60,Cauliflower,Vegetables
61,Cayenne pepper,Spices
62,Celeriac,Vegetables
63,Chicken,Meats
64,Chicken stock,Other
65,Chive,Herbs
66,Chorizo,Meats
67,Corn,Vegetables
68,Cream cheese,Cheeses
69,Dark chocolate,Other
70,Dill,Herbs
71,Flaxseed,Seeds
72,Kale,Vegetables
73,Lemongrass,Herbs
74,Mint,Herbs
75,Orange,Fruits
76,Peach,Fruits
77,Pear,Fruits
78,Pickling vinegar,Vinegars
79,Pine nut,Nut
80,Pineapple,Fruits
81,Pointed cabbage,Vegetables
82,Pork,Meats
83,Raisin,Fruits
84,Red cabbage,Vegetables
85,Rice,Other
86,Ricotta,Cheeses
87,Salad,Other
88,Soy,Other
89,Spring onion,Vegetables
90,Star anise,Spices
91,Tarragon,Herbs
92,White wine vinegar,Vinegars
