Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Pepper,Spices,Vanilla,Herbs
2,Lemon,Fruits,Mustard,Condiments,Lemon,Fruits
3,Mint,Herbs,Onion,Vegetables,Cardamom,Spices
4,Angostura,Alcohol,Garlic,Herbs,Orange,Fruits
5,Bourbon,Alcohol,Lemon,Fruits,Almond,Nut
6,Agave nectar,Sugars,Capers,Other,Apple,Fruits
7,Gin,Alcohol,Cheddar,Cheeses,Cinnamon,Spices
8,Strawberry,Berries,Cognac,Alcohol,Coffee,Beverages
9,Tequila,Alcohol,Honey,Sugars,Ginger,Herbs
10,Baileys,Alcohol,Mayonnaise,Condiments,Grand Marnier,Alcohol
11,Orange,Fruits,Nutmeg,Spices,Honey,Sugars
12,Rum,Alcohol,Olive oil,Oils,Onion,Vegetables
13,Vodka,Alcohol,Potato,Vegetables,Peppermint,Herbs
14,Absinthe,Alcohol,Apple,Fruits,White wine,Alcohol
15,Apple cider,Alcohol,Carrot,Other,,
16,Blueberry,Berries,Chili,Herbs,,
17,Grapefruit,Fruits,Chive,Herbs,,
18,Mezcal,Alcohol,Creme fraiche,Dairy,,
19,Orange bitter,Alcohol,Kale,Vegetables,,
20,Peychaud's Bitters,Alcohol,Red onion,Vegetables,,
21,Pisco,Alcohol,Timian,Herbs,,
22,Rye whiskey,Alcohol,Tomato,Vegetables,,
23,Scotch,Alcohol,Apple vinegar,Vinegars,,
24,,,Bacon,Meats,,
25,,,Bay leaf,Herbs,,
26,,,Beef stock,Other,,
27,,,Cauliflower,Vegetables,,
28,,,Cayenne pepper,Spices,,
29,,,Celery,Vegetables,,
30,,,Cucumber,Vegetables,,
31,,,Cumin,Spices,,
32,,,Dark chocolate,Other,,
33,,,Elderflower,Herbs,,
34,,,Oragano,Herbs,,
35,,,Paprika,Spices,,
36,,,Parsley,Herbs,,
37,,,Smoked paprika,Spices,,
38,,,Spring onion,Vegetables,,
39,,,Vanilla,Herbs,,
40,,,Worcestershire sauce,Condiments,,
41,,,Yoghurt,Dairy,,
