Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Dark chocolate,Other
2,Olive oil,Oils,Vanilla,Herbs
3,Garlic,Herbs,Cream cheese,Cheeses
4,Lemon,Fruits,Lemon,Fruits
5,Apple,Fruits,Almond,Nut
6,Mustard,Condiments,Cinnamon,Spices
7,Onion,Vegetables,Cocoa,Other
8,Potato,Vegetables,Rhubarb,Fruits
9,Red onion,Vegetables,White chocolate,Other
10,Bacon,Meats,Cherry,Berries
11,Carrot,Other,Fig,Fruits
12,Cucumber,Vegetables,Ginger,Herbs
13,Cumin,Spices,Licorice,Candy
14,Ginger,Herbs,Lime,Fruits
15,Parsley,Herbs,Pecan,Nut
16,Almond,Nut,Pistachio,Nut
17,Apple cider vinegar,Vinegars,Walnut,Nut
18,Apricot,Fruits,Yoghurt,Dairy
19,Arugula,Vegetables,,
20,Avocado,Vegetables,,
21,Bay leaf,Herbs,,
22,Beef,Meats,,
23,Bread,Other,,
24,Capers,Other,,
25,Cardamom,Spices,,
26,Cayenne pepper,Spices,,
27,Cheddar,Cheeses,,
28,Chicken stock,Other,,
29,Chick pea,Vegetables,,
30,Chive,Herbs,,
31,Cilantro,Herbs,,
32,Cinnamon,Spices,,
33,Cloves,Spices,,
34,Cranberry,Berries,,
35,Creme fraiche,Dairy,,
36,Feta,Cheeses,,
37,Honey,Sugars,,
38,Kale,Vegetables,,
39,Mayonnaise,Condiments,,
40,Mint,Herbs,,
41,Orange,Fruits,,
42,Parsley root,Vegetables,,
43,Pear,Fruits,,
44,Pickling vinegar,Vinegars,,
45,Pineapple,Fruits,,
46,Pointed cabbage,Vegetables,,
47,Pork,Meats,,
48,Rosemary,Herbs,,
49,Sesame seed,Seeds,,
50,Smoked paprika,Spices,,
51,Spring onion,Vegetables,,
52,Tahin,Other,,
53,Timian,Herbs,,
54,Tomato,Vegetables,,
55,Worcestershire sauce,Condiments,,
56,Yoghurt,Dairy,,
