Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Chick pea,Vegetables
2,Olive oil,Oils,Chili,Herbs
3,Onion,Vegetables,Ketchup,Condiments
4,Tomato,Vegetables,Maple syrup,Sugars
5,Pepper,Spices,Mustard,Condiments
6,Chili,Herbs,Red onion,Vegetables
7,Cilantro,Herbs,Spring onion,Vegetables
8,Red onion,Vegetables,White wine vinegar,Vinegars
9,Carrot,Other,,
10,Chicken,Meats,,
11,Cumin,Spices,,
12,Ginger,Herbs,,
13,Lemon,Fruits,,
14,Lime,Fruits,,
15,Paprika,Spices,,
16,Parsley,Herbs,,
17,Smoked paprika,Spices,,
18,Spring onion,Vegetables,,
19,Avocado,Vegetables,,
20,Bacon,Meats,,
21,Balsamic vinegar,Vinegars,,
22,Basil,Herbs,,
23,Bay leaf,Herbs,,
24,Bread,Other,,
25,Cashew,Nut,,
26,Cayenne pepper,Spices,,
27,Celery,Vegetables,,
28,Cinnamon,Spices,,
29,Coconut,Nut,,
30,Coconut sugar,Sugars,,
31,Courgette,Vegetables,,
32,Creme fraiche,Dairy,,
33,Cucumber,Vegetables,,
34,Curry,Spices,,
35,Egg plant,Vegetables,,
36,Feta,Cheeses,,
37,Fish sauce,Other,,
38,Honey,Sugars,,
39,Leek,Vegetables,,
40,Lemongrass,Herbs,,
41,Mint,Herbs,,
42,Mushroom,Vegetables,,
43,Oragano,Herbs,,
44,Parmesan,Dairy,,
45,Potato,Vegetables,,
46,Rice,Other,,
47,Soy,Other,,
48,Spinach,Spices,,
49,Timian,Herbs,,
50,Turmeric,Spices,,
51,Zucchini,Vegetables,,
52,Allspice,Spices,,
53,Almond,Nut,,
54,Apple,Fruits,,
55,Apple cider vinegar,Vinegars,,
56,Arugula,Vegetables,,
57,Asparagus,Vegetables,,
58,Bean,Vegetables,,
59,Bean sprout,Vegetables,,
60,Beef,Meats,,
61,Beef stock,Other,,
62,Blueberry,Berries,,
63,Brocolli,Vegetables,,
64,Buttermilk,Dairy,,
65,Butternut squash,Vegetables,,
66,Capers,Other,,
67,Cardamom,Spices,,
68,Celeriac,Vegetables,,
69,Cheddar,Cheeses,,
70,Cherry,Berries,,
71,Chicken stock,Other,,
72,Chick pea,Vegetables,,
73,Chive,Herbs,,
74,Chorizo,Meats,,
75,Cloves,Spices,,
76,Corn,Vegetables,,
77,Couscous,Other,,
78,Cream,Dairy,,
79,Cream cheese,Cheeses,,
80,Dark chocolate,Other,,
81,Dill,Herbs,,
82,Edamame,Vegetables,,
83,Fennel,Vegetables,,
84,Fennel seed,Spices,,
85,Flatleaf Parsley,Herbs,,
86,Garam masala,Spices,,
87,Hazelnut,Nut,,
88,Kale,Vegetables,,
89,Ketchup,Condiments,,
90,Maple syrup,Sugars,,
91,Mascarpone,Cheeses,,
92,Mayonnaise,Condiments,,
93,Mustard,Condiments,,
94,Noodle,Other,,
95,Nutmeg,Spices,,
96,Orange,Fruits,,
97,Pasta,Other,,
98,Peanit,Nut,,
99,Peanut butter,Nut,,
100,Pine nut,Nut,,
101,Pineapple,Fruits,,
102,Pointed cabbage,Vegetables,,
103,Pomegranate,Fruits,,
104,Pork,Meats,,
105,Raisin,Fruits,,
106,Red wine,Alcohol,,
107,Ricotta,Cheeses,,
108,Rosemary,Herbs,,
109,Rye bread,Other,,
110,Saffron,Herbs,,
111,Sage,Herbs,,
112,Salad,Other,,
113,Salmon,Meats,,
114,Sesame oil,Oils,,
115,Sesame seed,Seeds,,
116,Shallot,Vegetables,,
117,Star anise,Spices,,
118,Sundried tomato,Vegetables,,
119,Sweet potato,Vegetables,,
120,Tahin,Other,,
121,Vanilla,Herbs,,
122,Vegetable stock,Other,,
123,White wine,Alcohol,,
124,White wine vinegar,Vinegars,,
125,Worcestershire sauce,Condiments,,
126,Yoghurt,Dairy,,
