Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cointreau,Liqueurs,Carrot,Other,Vanilla,Herbs
2,Lemon,Fruits,Honey,Sugars,Lemon,Fruits
3,Lime,Fruits,Olive oil,Oils,White chocolate,Other
4,Mint,Herbs,Onion,Vegetables,Almond,Nut
5,Vodka,Alcohol,Orange,Fruits,Cocoa,Other
6,Agave nectar,Sugars,Timian,Herbs,Dark chocolate,Other
7,Angostura,Alcohol,Apple cider vinegar,Vinegars,Cinnamon,Spices
8,Balsamic vinegar,Vinegars,Apricot,Fruits,Hazelnut,Nut
9,Cranberry,Berries,Balsamic vinegar,Vinegars,Lime,Fruits
10,Gin,Alcohol,Basil,Herbs,Marzipan,Other
11,Honey,Sugars,Cherry,Berries,Raspberry,Berries
12,Orange,Fruits,Cloves,Spices,Apple,Fruits
13,Red wine,Alcohol,Elderberry,Berries,Blueberry,Berries
14,Sweet vermouth,Alcohol,Garlic,Herbs,Honey,Sugars
15,Tequila,Alcohol,Grapefruit,Fruits,Milk chocolate,Other
16,,,Lemon,Fruits,Orange,Fruits
17,,,Mushroom,Vegetables,Redcurrant,Berries
18,,,Pointed cabbage,Vegetables,Strawberry,Berries
19,,,Portwine,Alcohol,Wood sorrel,Herbs
20,,,Red wine,Alcohol,Balsamic vinegar,Vinegars
21,,,Vanilla,Herbs,Blackcurrant,Berries
22,,,,,Buttermilk,Dairy
23,,,,,Cardamom,Spices
24,,,,,Condensed milk,Dairy
25,,,,,Cream cheese,Cheeses
26,,,,,Creme fraiche,Dairy
27,,,,,Lemon balm,Herbs
28,,,,,Licorice,Candy
29,,,,,Marshmallow,Candy
30,,,,,Mascarpone,Cheeses
31,,,,,Passionfruit,Fruits
32,,,,,Peanit,Nut
33,,,,,Peanut butter,Nut
34,,,,,Pecan,Nut
35,,,,,Pistachio,Nut
36,,,,,Vodka,Alcohol
37,,,,,Walnut,Nut
38,,,,,Yoghurt,Dairy
39,,,,,Cherry,Berries
40,,,,,Chestnut,Nut
41,,,,,Elderflower,Herbs
42,,,,,Ginger,Herbs
43,,,,,Mango,Fruits
44,,,,,Maple syrup,Sugars
45,,,,,Mint,Herbs
46,,,,,Nougat,Other
47,,,,,Nutmeg,Spices
48,,,,,Poppy seed,Seeds
49,,,,,Rhubarb,Fruits
50,,,,,Rosemary,Herbs
51,,,,,Saffron,Herbs
52,,,,,Star anise,Spices
53,,,,,White wine vinegar,Vinegars
