Rank,Sweet,Category
1,Vanilla,Herbs
2,Lemon,Fruits
3,White chocolate,Other
4,Almond,Nut
5,Dark chocolate,Other
6,Hazelnut,Nut
7,Marzipan,Other
8,Raspberry,Berries
9,Redcurrant,Berries
10,Cardamom,Spices
11,Cocoa,Other
12,Blackberry,Berries
13,Cinnamon,Spices
14,Condensed milk,Dairy
15,Licorice,Candy
16,Lime,Fruits
17,Milk chocolate,Other
18,Strawberry,Berries
19,Allspice,Spices
20,Amaretto,Alcohol
21,Balsamic vinegar,Vinegars
22,Blueberry,Berries
23,Champagne,Alcohol
24,Cherry,Berries
25,Chestnut,Nut
26,Chia seed,Seeds
27,Chokeberry,Berries
28,Cloves,Spices
29,Creme fraiche,Dairy
30,Fig,Fruits
31,Ginger,Herbs
32,Gooseberry,Berries
33,Honey,Sugars
34,Marshmallow,Candy
35,Mint,Herbs
36,Nutmeg,Spices
37,Orange,Fruits
38,Passionfruit,Fruits
39,Peanit,Nut
40,Pecan,Nut
41,Pomegranate,Fruits
42,Portwine,Alcohol
43,Raisin,Fruits
44,Spinach,Spices
45,Star anise,Spices
46,Walnut,Nut
47,Wood sorrel,Herbs
48,Yoghurt,Dairy
