Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Olive oil,Oils,Vanilla,Herbs
2,Lemon,Fruits,Honey,Sugars,Lemon,Fruits
3,Mint,Herbs,Pepper,Spices,White chocolate,Other
4,Strawberry,Berries,Almond,Nut,Marzipan,Other
5,Absinthe,Alcohol,Apple cider vinegar,Vinegars,Almond,Nut
6,Amaretto,Alcohol,Arugula,Vegetables,Lime,Fruits
7,Beer,Alcohol,Garlic,Herbs,Raspberry,Berries
8,Bourbon,Alcohol,Licorice,Candy,Strawberry,Berries
9,Dark rum,Alcohol,Mustard,Condiments,Cocoa,Other
10,Honey,Sugars,Onion,Vegetables,Dark chocolate,Other
11,Orange,Fruits,Apple,Fruits,Blackberry,Berries
12,Pineapple,Fruits,Banana,Fruits,Buttermilk,Dairy
13,,,Parsley,Herbs,Cinnamon,Spices
14,,,Bell pepper,Vegetables,Cream cheese,Cheeses
15,,,Bread,Other,Creme fraiche,Dairy
16,,,Carrot,Other,Hazelnut,Nut
17,,,Cocoa,Other,Avocado,Vegetables
18,,,Creme fraiche,Dairy,Banana,Fruits
19,,,Fennel,Vegetables,Blackcurrant,Berries
20,,,Feta,Cheeses,Chestnut,Nut
21,,,Flaxseed,Seeds,Elderflower,Herbs
22,,,Goat cheese,Cheeses,Honey,Sugars
23,,,Leek,Vegetables,Kiwi,Berries
24,,,Mango,Fruits,Licorice,Candy
25,,,Marzipan,Other,Maple syrup,Sugars
26,,,Mozzarella,Cheeses,Marshmallow,Candy
27,,,Peach,Fruits,Mascarpone,Cheeses
28,,,Pear,Fruits,Milk chocolate,Other
29,,,Pine nut,Nut,Mint,Herbs
30,,,Red cabbage,Vegetables,Passionfruit,Fruits
31,,,Red onion,Vegetables,Pear,Fruits
32,,,Redcurrant,Berries,Pistachio,Nut
33,,,Spinach,Spices,Portwine,Alcohol
34,,,Spring onion,Vegetables,Redcurrant,Berries
35,,,Strawberry,Berries,Rhubarb,Fruits
36,,,Tomato,Vegetables,Walnut,Nut
37,,,Vanilla,Herbs,Yoghurt,Dairy
38,,,Yoghurt,Dairy,Amaretto,Alcohol
39,,,,,Apple,Fruits
40,,,,,Cardamom,Spices
41,,,,,Champagne,Alcohol
42,,,,,Coconut,Nut
43,,,,,Cream,Dairy
44,,,,,Grand Marnier,Alcohol
45,,,,,Grapefruit,Fruits
46,,,,,Lavender,Herbs
47,,,,,Mango,Fruits
48,,,,,Nougat,Other
49,,,,,Olive oil,Oils
50,,,,,Orange,Fruits
51,,,,,Pecan,Nut
52,,,,,Pineapple,Fruits
53,,,,,Ricotta,Cheeses
54,,,,,Rum,Alcohol
55,,,,,Saffron,Herbs
56,,,,,Tarragon,Herbs
57,,,,,Vodka,Alcohol
58,,,,,White wine vinegar,Vinegars
