Rank,Cocktail,Category,Sweet,Category
1,Lemon,Fruits,Vanilla,Herbs
2,Angostura,Alcohol,Apple,Fruits
3,Orange,Fruits,Apple cider,Alcohol
4,Mint,Herbs,Cinnamon,Spices
5,Lime,Fruits,Cream,Dairy
6,Cherry,Berries,Smoked paprika,Spices
7,Honey,Sugars,,
8,Nutmeg,Spices,,
9,Beer,Alcohol,,
10,Cinnamon,Spices,,
11,Gin,Alcohol,,
12,Grapefruit,Fruits,,
13,Grenadine,Beverages,,
14,Maple syrup,Sugars,,
15,Maraschino liqueur,Alcohol,,
16,Sweet vermouth,Alcohol,,
17,Absinthe,Alcohol,,
18,Agave nectar,Sugars,,
19,Amaretto,Alcohol,,
20,Aperol,Alcohol,,
21,Apple,Fruits,,
22,Apple cider,Alcohol,,
23,Bénédictine,Alcohol,,
24,Blueberry,Berries,,
25,Brandy,Alcohol,,
26,Calvados,Alcohol,,
27,Cayenne pepper,Spices,,
28,Cocoa,Other,,
29,Cointreau,Liqueurs,,
30,Cream,Dairy,,
31,Fernet Branca,Alcohol,,
32,Grand Marnier,Alcohol,,
33,Light rum,Alcohol,,
34,Orange bitter,Alcohol,,
35,Orgeat syrup,Other,,
36,Pepper,Spices,,
37,Peychaud's Bitters,Alcohol,,
38,Rye whiskey,Alcohol,,
39,Star anise,Spices,,
40,Strawberry,Berries,,
41,Vanilla,Herbs,,
