Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Angostura,Alcohol,Garlic,Herbs,Cinnamon,Spices
2,Lemon,Fruits,Onion,Vegetables,Cloves,Spices
3,Orange,Fruits,Bay leaf,Herbs,Cocoa,Other
4,Nutmeg,Spices,Chicken stock,Other,Cream,Dairy
5,Cinnamon,Spices,Cream,Dairy,Honey,Sugars
6,Bourbon,Alcohol,Creme fraiche,Dairy,Orange,Fruits
7,Cream,Dairy,Timian,Herbs,Star anise,Spices
8,Light rum,Alcohol,Carrot,Other,,
9,Maraschino liqueur,Alcohol,Cayenne pepper,Spices,,
10,Orange curaçao,Alcohol,Celery,Vegetables,,
11,Portwine,Alcohol,Flatleaf Parsley,Herbs,,
12,Star anise,Spices,Leek,Vegetables,,
13,Vanilla,Herbs,Lemon,Fruits,,
14,,,Olive oil,Oils,,
15,,,Parmesan,Dairy,,
16,,,Parsley,Herbs,,
17,,,Pepper,Spices,,
18,,,Red onion,Vegetables,,
19,,,Red wine,Alcohol,,
20,,,Sage,Herbs,,
21,,,Shallot,Vegetables,,
22,,,Smoked paprika,Spices,,
23,,,Tomato,Vegetables,,
