Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Apple,Fruits,Pepper,Spices,Lemon,Fruits
2,Mustard,Condiments,Olive oil,Oils,Vanilla,Herbs
3,Olive oil,Oils,Garlic,Herbs,,
4,,,Onion,Vegetables,,
5,,,Tomato,Vegetables,,
6,,,Bell pepper,Vegetables,,
7,,,Timian,Herbs,,
8,,,Chili,Herbs,,
9,,,Lemon,Fruits,,
10,,,Mustard,Condiments,,
11,,,Parsley,Herbs,,
12,,,Potato,Vegetables,,
13,,,Red onion,Vegetables,,
14,,,Bacon,Meats,,
15,,,Capers,Other,,
16,,,Carrot,Other,,
17,,,Celeriac,Vegetables,,
18,,,Chicken,Meats,,
19,,,Chive,Herbs,,
20,,,Cilantro,Herbs,,
21,,,Cream cheese,Cheeses,,
22,,,Creme fraiche,Dairy,,
23,,,Cucumber,Vegetables,,
24,,,Dill,Herbs,,
25,,,Goat cheese,Cheeses,,
26,,,Honey,Sugars,,
27,,,Leek,Vegetables,,
28,,,Lime,Fruits,,
29,,,Mozzarella,Cheeses,,
30,,,Oragano,Herbs,,
31,,,Paprika,Spices,,
32,,,Parmesan,Dairy,,
33,,,Salad,Other,,
34,,,Spinach,Spices,,
35,,,Spring onion,Vegetables,,
36,,,White wine,Alcohol,,
37,,,Almond,Nut,,
38,,,Apple,Fruits,,
39,,,Apple cider vinegar,Vinegars,,
40,,,Asparagus,Vegetables,,
41,,,Avocado,Vegetables,,
42,,,Bean sprout,Vegetables,,
43,,,Beef,Meats,,
44,,,Beetroot,Vegetables,,
45,,,Blueberry,Berries,,
46,,,Brocolli,Vegetables,,
47,,,Cauliflower,Vegetables,,
48,,,Cayenne pepper,Spices,,
49,,,Celery,Vegetables,,
50,,,Chorizo,Meats,,
51,,,Cinnamon,Spices,,
52,,,Cloves,Spices,,
53,,,Coconut,Nut,,
54,,,Coconut sugar,Sugars,,
55,,,Cumin,Spices,,
56,,,Feta,Cheeses,,
57,,,Fish sauce,Other,,
58,,,Ginger,Herbs,,
59,,,Maple syrup,Sugars,,
60,,,Mayonnaise,Condiments,,
61,,,Mint,Herbs,,
62,,,Mushroom,Vegetables,,
63,,,Noodle,Other,,
64,,,Nutmeg,Spices,,
65,,,Parsley root,Vegetables,,
66,,,Pecan,Nut,,
67,,,Pumpkin seed,Seeds,,
68,,,Rice,Other,,
69,,,Smoked paprika,Spices,,
70,,,Soy,Other,,
71,,,Sundried tomato,Vegetables,,
72,,,Tarragon,Herbs,,
73,,,Zucchini,Vegetables,,
