Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Balsamic vinegar,Vinegars
2,Olive oil,Oils,,
3,Ginger,Herbs,,
4,Pepper,Spices,,
5,Chili,Herbs,,
6,Onion,Vegetables,,
7,Carrot,Other,,
8,Chicken,Meats,,
9,Cilantro,Herbs,,
10,Coconut,Nut,,
11,Edamame,Vegetables,,
12,Honey,Sugars,,
13,Lime,Fruits,,
14,Parsley,Herbs,,
15,Pointed cabbage,Vegetables,,
16,Red onion,Vegetables,,
17,Rice,Other,,
18,Soy,Other,,
19,Spinach,Spices,,
20,Spring onion,Vegetables,,
21,Tomato,Vegetables,,
22,Almond,Nut,,
23,Apple,Fruits,,
24,Apple cider vinegar,Vinegars,,
25,Avocado,Vegetables,,
26,Bacon,Meats,,
27,Balsamic vinegar,Vinegars,,
28,Banana,Fruits,,
29,Bell pepper,Vegetables,,
30,Capers,Other,,
31,Cardamom,Spices,,
32,Cashew,Nut,,
33,Cheddar,Cheeses,,
34,Chick pea,Vegetables,,
35,Chorizo,Meats,,
36,Cinnamon,Spices,,
37,Coconut sugar,Sugars,,
38,Cranberry,Berries,,
39,Creme fraiche,Dairy,,
40,Cumin,Spices,,
41,Curry,Spices,,
42,Fish sauce,Other,,
43,Flatleaf Parsley,Herbs,,
44,Kale,Vegetables,,
45,Kiwi,Berries,,
46,Leek,Vegetables,,
47,Lemon,Fruits,,
48,Mayonnaise,Condiments,,
49,Mustard,Condiments,,
50,Noodle,Other,,
51,Orange,Fruits,,
52,Paprika,Spices,,
53,Parmesan,Dairy,,
54,Peanit,Nut,,
55,Peanut butter,Nut,,
56,Pomegranate,Fruits,,
57,Potato,Vegetables,,
58,Pumpkin seed,Seeds,,
59,Rosemary,Herbs,,
60,Sesame seed,Seeds,,
61,Timian,Herbs,,
62,White wine vinegar,Vinegars,,
63,Yoghurt,Dairy,,
64,Zucchini,Vegetables,,
65,Anchovy,Meats,,
66,Bean sprout,Vegetables,,
67,Bread,Other,,
68,Cauliflower,Vegetables,,
69,Cayenne pepper,Spices,,
70,Celeriac,Vegetables,,
71,Chicken stock,Other,,
72,Chive,Herbs,,
73,Courgette,Vegetables,,
74,Cucumber,Vegetables,,
75,Date,Fruits,,
76,Dill,Herbs,,
77,Feta,Cheeses,,
78,Flaxseed,Seeds,,
79,Ketchup,Condiments,,
80,Mushroom,Vegetables,,
81,Pasta,Other,,
82,Pea,Vegetables,,
83,Pear,Fruits,,
84,Pineapple,Fruits,,
85,Rapeseed oil,Oils,,
86,Raspberry,Berries,,
87,Rye bread,Other,,
88,Saffron,Herbs,,
89,Shallot,Vegetables,,
90,Smoked paprika,Spices,,
91,Sweet potato,Vegetables,,
92,Turmeric,Spices,,
93,Vanilla,Herbs,,
94,White wine,Alcohol,,
