Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Vanilla,Herbs
2,Olive oil,Oils,Lemon,Fruits
3,Pepper,Spices,Cinnamon,Spices
4,Lemon,Fruits,Marshmallow,Candy
5,Chicken,Meats,White chocolate,Other
6,Honey,Sugars,Cocoa,Other
7,Paprika,Spices,Dark chocolate,Other
8,Sourdough,Other,Lime,Fruits
9,Apple,Fruits,Marzipan,Other
10,Arugula,Vegetables,Raspberry,Berries
11,Banana,Fruits,Almond,Nut
12,Cardamom,Spices,Blueberry,Berries
13,Carrot,Other,Cardamom,Spices
14,Chive,Herbs,Coffee,Beverages
15,Cilantro,Herbs,Cream cheese,Cheeses
16,Cinnamon,Spices,Hazelnut,Nut
17,Cream,Dairy,Honey,Sugars
18,Creme fraiche,Dairy,Orange,Fruits
19,Lime,Fruits,Strawberry,Berries
20,Mustard,Condiments,Amaretto,Alcohol
21,Onion,Vegetables,Apple,Fruits
22,Orange,Fruits,Blackberry,Berries
23,Parsley,Herbs,Carrot,Other
24,Red onion,Vegetables,Chicken stock,Other
25,Strawberry,Berries,Cloves,Spices
26,Tomato,Vegetables,Cream,Dairy
27,Vanilla,Herbs,Creme fraiche,Dairy
28,Avocado,Vegetables,Ginger,Herbs
29,Bacon,Meats,Grand Marnier,Alcohol
30,Balsamic vinegar,Vinegars,Lemon balm,Herbs
31,Beef stock,Other,Licorice,Candy
32,Bell pepper,Vegetables,Maple syrup,Sugars
33,Cayenne pepper,Spices,Mascarpone,Cheeses
34,Cheddar,Cheeses,Mayonnaise,Condiments
35,Chicken stock,Other,Milk chocolate,Other
36,Chili,Herbs,Mint,Herbs
37,Courgette,Vegetables,Nougat,Other
38,Cranberry,Berries,Olive oil,Oils
39,Cucumber,Vegetables,Onion,Vegetables
40,Cumin,Spices,Parsley,Herbs
41,Date,Fruits,Pecan,Nut
42,Fennel,Vegetables,Pepper,Spices
43,Fennel seed,Spices,Poppy seed,Seeds
44,Flaxseed,Seeds,Rhubarb,Fruits
45,Ginger,Herbs,Rum,Alcohol
46,Hazelnut,Nut,Sea buckthorn,Berries
47,Kale,Vegetables,Timian,Herbs
48,Leek,Vegetables,Vodka,Alcohol
49,Mayonnaise,Condiments,Wood sorrel,Herbs
50,Milk chocolate,Other,Apple cider vinegar,Vinegars
51,Mint,Herbs,Avocado,Vegetables
52,Mushroom,Vegetables,Banana,Fruits
53,Nutmeg,Spices,Cayenne pepper,Spices
54,Oragano,Herbs,Champagne,Alcohol
55,Parmesan,Dairy,Cherry,Berries
56,Pineapple,Fruits,Cilantro,Herbs
57,Rosemary,Herbs,Coconut,Nut
58,Shallot,Vegetables,Cognac,Alcohol
59,Smoked paprika,Spices,Date,Fruits
60,Spinach,Spices,Garlic,Herbs
61,Turmeric,Spices,Mustard,Condiments
62,Vegetable stock,Other,Paprika,Spices
63,White wine vinegar,Vinegars,Passionfruit,Fruits
64,Yoghurt,Dairy,Peppermint,Herbs
65,,,Pistachio,Nut
66,,,Pomegranate,Fruits
67,,,Raisin,Fruits
68,,,Ricotta,Cheeses
69,,,Walnut,Nut
70,,,White wine vinegar,Vinegars
71,,,Yoghurt,Dairy
