Rank,Savory,Category
1,Olive oil,Oils
2,Garlic,Herbs
3,Cilantro,Herbs
4,Mustard,Condiments
5,Onion,Vegetables
6,Red onion,Vegetables
7,Carrot,Other
8,Chili,Herbs
9,Cumin,Spices
10,Flatleaf Parsley,Herbs
11,Honey,Sugars
12,Leek,Vegetables
13,Spinach,Spices
14,Bay leaf,Herbs
15,Bell pepper,Vegetables
16,Cauliflower,Vegetables
17,Chicken stock,Other
18,Cinnamon,Spices
19,Creme fraiche,Dairy
20,Ginger,Herbs
21,Kale,Vegetables
22,Paprika,Spices
23,Red wine,Alcohol
24,Shallot,Vegetables
25,Vegetable stock,Other
26,White wine,Alcohol
27,Celery,Vegetables
28,Coconut,Nut
29,Cream cheese,Cheeses
30,Cucumber,Vegetables
31,Feta,Cheeses
32,Fish sauce,Other
33,Maple syrup,Sugars
34,Oragano,Herbs
35,Parsley,Herbs
36,Pea,Vegetables
37,Pepper,Spices
38,Potato,Vegetables
39,Rice,Other
40,Ricotta,Cheeses
41,Sage,Herbs
42,Soy,Other
43,Star anise,Spices
44,Sweet potato,Vegetables
45,Tahin,Other
46,Timian,Herbs
47,Turmeric,Spices
48,Walnut,Nut
