Rank,Cocktail,Category
1,Sweet vermouth,Alcohol
2,Orange,Fruits
3,Gin,Alcohol
4,Lime,Fruits
5,Lemon,Fruits
6,Mezcal,Alcohol
7,Aperol,Alcohol
8,Cinnamon,Spices
9,Cointreau,Liqueurs
10,Green chartreuse,Alcohol
11,Mint,Herbs
12,Pineapple,Fruits
13,St. Germain,Alcohol
14,Tequila,Alcohol
15,Bénédictine,Alcohol
16,Blue curaçao,Alcohol
17,Dark rum,Alcohol
18,Dry vermouth,Alcohol
19,Grenadine,Beverages
20,Honey,Sugars
21,Lillet blanc,Alcohol
22,Peychaud's Bitters,Alcohol
23,Raspberry,Berries
24,Rosemary,Herbs
25,Rye whiskey,Alcohol
26,Vodka,Alcohol
27,White wine,Alcohol
