Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Lemon,Fruits
2,Lemon,Fruits,Mayonnaise,Condiments
3,Garlic,Herbs,,
4,Pepper,Spices,,
5,Mustard,Condiments,,
6,Onion,Vegetables,,
7,Parsley,Herbs,,
8,Chili,Herbs,,
9,Creme fraiche,Dairy,,
10,Mayonnaise,Condiments,,
11,Potato,Vegetables,,
12,Tomato,Vegetables,,
13,Chive,Herbs,,
14,Dill,Herbs,,
15,Red onion,Vegetables,,
16,Yoghurt,Dairy,,
17,Anchovy,Meats,,
18,Apple,Fruits,,
19,Apple cider vinegar,Vinegars,,
20,Arugula,Vegetables,,
21,Avocado,Vegetables,,
22,Bacon,Meats,,
23,Basil,Herbs,,
24,Bay leaf,Herbs,,
25,Beer,Alcohol,,
26,Brocolli,Vegetables,,
27,Carrot,Other,,
28,Celery,Vegetables,,
29,Chicken stock,Other,,
30,Cucumber,Vegetables,,
31,Curry,Spices,,
32,Fennel,Vegetables,,
33,Flatleaf Parsley,Herbs,,
34,Oragano,Herbs,,
35,Parmesan,Dairy,,
36,Pasta,Other,,
37,Pea,Vegetables,,
38,Pointed cabbage,Vegetables,,
39,Rye bread,Other,,
40,Salmon,Meats,,
41,Shallot,Vegetables,,
42,Spring onion,Vegetables,,
43,Timian,Herbs,,
44,Turmeric,Spices,,
45,White wine,Alcohol,,
46,White wine vinegar,Vinegars,,
47,Balsamic vinegar,Vinegars,,
48,Beef,Meats,,
49,Beetroot,Vegetables,,
50,Bell pepper,Vegetables,,
51,Bread,Other,,
52,Cardamom,Spices,,
53,Cauliflower,Vegetables,,
54,Celeriac,Vegetables,,
55,Cheddar,Cheeses,,
56,Chick pea,Vegetables,,
57,Cilantro,Herbs,,
58,Cinnamon,Spices,,
59,Cloves,Spices,,
60,Cognac,Alcohol,,
61,Courgette,Vegetables,,
62,Cream,Dairy,,
63,Cumin,Spices,,
64,Dark chocolate,Other,,
65,Edamame,Vegetables,,
66,Feta,Cheeses,,
67,Ginger,Herbs,,
68,Honey,Sugars,,
69,Ketchup,Condiments,,
70,Lemongrass,Herbs,,
71,Lime,Fruits,,
72,Mango,Fruits,,
73,Maple syrup,Sugars,,
74,Marsala,Alcohol,,
75,Mascarpone,Cheeses,,
76,Mint,Herbs,,
77,Mozzarella,Cheeses,,
78,Nutmeg,Spices,,
79,Parsley root,Vegetables,,
80,Pear,Fruits,,
81,Pork,Meats,,
82,Pumpkin,Vegetables,,
83,Pumpkin seed,Seeds,,
84,Red cabbage,Vegetables,,
85,Red wine,Alcohol,,
86,Rosemary,Herbs,,
87,Sage,Herbs,,
88,Salad,Other,,
89,Smoked paprika,Spices,,
90,Smoked salmon,Meats,,
91,Spinach,Spices,,
92,Strawberry,Berries,,
93,Sundried tomato,Vegetables,,
94,Sweet potato,Vegetables,,
95,Tarragon,Herbs,,
96,Vegetable stock,Other,,
97,Watercress,Vegetables,,
98,Worcestershire sauce,Condiments,,
