Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Cardamom,Spices
2,Onion,Vegetables,Cinnamon,Spices
3,Bay leaf,Herbs,Cocoa,Other
4,Timian,Herbs,Flaxseed,Seeds
5,Chili,Herbs,Lemon,Fruits
6,Garlic,Herbs,Marzipan,Other
7,Red cabbage,Vegetables,Olive oil,Oils
8,Allspice,Spices,Pumpkin seed,Seeds
9,Almond,Nut,Vanilla,Herbs
10,Cardamom,Spices,,
11,Carrot,Other,,
12,Celery,Vegetables,,
13,Cinnamon,Spices,,
14,Cloves,Spices,,
15,Cucumber,Vegetables,,
16,Cumin,Spices,,
17,Flaxseed,Seeds,,
18,Garam masala,Spices,,
19,Ginger,Herbs,,
20,Honey,Sugars,,
21,Leek,Vegetables,,
22,Lemon,Fruits,,
23,Nutmeg,Spices,,
24,Olive oil,Oils,,
25,Pickling vinegar,Vinegars,,
26,Poppy seed,Seeds,,
27,Pumpkin seed,Seeds,,
28,Sesame seed,Seeds,,
29,Sourdough,Other,,
30,Tomato,Vegetables,,
