Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Balsamic vinegar,Vinegars,Garlic,Herbs,Cinnamon,Spices
2,Celery,Vegetables,Onion,Vegetables,Lemon,Fruits
3,Garlic,Herbs,Olive oil,Oils,Vanilla,Herbs
4,Gin,Alcohol,Pepper,Spices,Cream cheese,Cheeses
5,Lemon,Fruits,Bay leaf,Herbs,Almond,Nut
6,Lime,Fruits,Celery,Vegetables,Marshmallow,Candy
7,Tabasco,Condiments,Leek,Vegetables,Walnut,Nut
8,Timian,Herbs,Timian,Herbs,Buttermilk,Dairy
9,Tomato,Vegetables,Tomato,Vegetables,Cilantro,Herbs
10,Vanilla,Herbs,Chili,Herbs,Cloves,Spices
11,Worcestershire sauce,Condiments,Cilantro,Herbs,Cocoa,Other
12,,,Ginger,Herbs,Cumin,Spices
13,,,Lemon,Fruits,Garlic,Herbs
14,,,Parsley,Herbs,Ginger,Herbs
15,,,Potato,Vegetables,Hazelnut,Nut
16,,,Apple,Fruits,Marzipan,Other
17,,,Bacon,Meats,Nutmeg,Spices
18,,,Beef,Meats,Olive oil,Oils
19,,,Bell pepper,Vegetables,Onion,Vegetables
20,,,Celeriac,Vegetables,Orange,Fruits
21,,,Chicken,Meats,Pepper,Spices
22,,,Chicken stock,Other,Pistachio,Nut
23,,,Creme fraiche,Dairy,Rosemary,Herbs
24,,,Cucumber,Vegetables,Tomato,Vegetables
25,,,Cumin,Spices,White chocolate,Other
26,,,Fish sauce,Other,Allspice,Spices
27,,,Honey,Sugars,Balsamic vinegar,Vinegars
28,,,Lime,Fruits,Cardamom,Spices
29,,,Mushroom,Vegetables,Cashew,Nut
30,,,Mustard,Condiments,Celery,Vegetables
31,,,Oragano,Herbs,Chicken stock,Other
32,,,Paprika,Spices,Coriander seed,Other
33,,,Parmesan,Dairy,Cranberry,Berries
34,,,Red onion,Vegetables,Cream,Dairy
35,,,Red wine,Alcohol,Dark chocolate,Other
36,,,Rosemary,Herbs,Date,Fruits
37,,,Soy,Other,Grand Marnier,Alcohol
