Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Vanilla,Herbs
2,Olive oil,Oils,Almond,Nut
3,Cilantro,Herbs,Dark chocolate,Other
4,Chili,Herbs,White chocolate,Other
5,Ginger,Herbs,Banana,Fruits
6,Spring onion,Vegetables,Cinnamon,Spices
7,Bell pepper,Vegetables,Cardamom,Spices
8,Carrot,Other,Honey,Sugars
9,Lime,Fruits,Lemon,Fruits
10,Onion,Vegetables,Cocoa,Other
11,Rice,Other,Coconut,Nut
12,Soy,Other,Date,Fruits
13,Brocolli,Vegetables,Ginger,Herbs
14,Chicken,Meats,Hazelnut,Nut
15,Coconut,Nut,Lime,Fruits
16,Cumin,Spices,Mango,Fruits
17,Fish sauce,Other,Marzipan,Other
18,Noodle,Other,Passionfruit,Fruits
19,Pepper,Spices,Apple,Fruits
20,Red onion,Vegetables,Apricot,Fruits
21,Cardamom,Spices,Baileys,Alcohol
22,Cinnamon,Spices,Basil,Herbs
23,Cloves,Spices,Carrot,Other
24,Coconut sugar,Sugars,Chili,Herbs
25,Curry,Spices,Cilantro,Herbs
26,Edamame,Vegetables,Cloves,Spices
27,Lemon,Fruits,Coffee,Beverages
28,Lemongrass,Herbs,Condensed milk,Dairy
29,Mint,Herbs,Milk chocolate,Other
30,Mushroom,Vegetables,Nutmeg,Spices
31,Spinach,Spices,Pecan,Nut
32,Tomato,Vegetables,Pistachio,Nut
33,Turmeric,Spices,Raisin,Fruits
34,Arugula,Vegetables,Raspberry,Berries
35,Banana,Fruits,Redcurrant,Berries
36,Bay leaf,Herbs,Strawberry,Berries
37,Bean sprout,Vegetables,,
38,Cayenne pepper,Spices,,
39,Cranberry,Berries,,
40,Creme fraiche,Dairy,,
41,Date,Fruits,,
42,Maple syrup,Sugars,,
43,Orange,Fruits,,
44,Parmesan,Dairy,,
45,Parsley,Herbs,,
46,Pea,Vegetables,,
47,Pineapple,Fruits,,
48,Potato,Vegetables,,
49,Raspberry,Berries,,
50,Red cabbage,Vegetables,,
51,Sea buckthorn,Berries,,
52,Sesame seed,Seeds,,
53,Star anise,Spices,,
54,Vanilla,Herbs,,
55,Yoghurt,Dairy,,
56,Zucchini,Vegetables,,
