Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Nutmeg,Spices
2,Olive oil,Oils,,
3,Onion,Vegetables,,
4,Pepper,Spices,,
5,Lemon,Fruits,,
6,Parsley,Herbs,,
7,Carrot,Other,,
8,Cheddar,Cheeses,,
9,Cilantro,Herbs,,
10,Cumin,Spices,,
11,Ginger,Herbs,,
12,Parmesan,Dairy,,
13,Potato,Vegetables,,
14,Spring onion,Vegetables,,
15,Tomato,Vegetables,,
16,Almond,Nut,,
17,Apple,Fruits,,
18,Apple cider vinegar,Vinegars,,
19,Arugula,Vegetables,,
20,Balsamic vinegar,Vinegars,,
21,Bay leaf,Herbs,,
22,Butternut squash,Vegetables,,
23,Capers,Other,,
24,Cardamom,Spices,,
25,Cayenne pepper,Spices,,
26,Chick pea,Vegetables,,
27,Chili,Herbs,,
28,Coconut,Nut,,
29,Cucumber,Vegetables,,
30,Curry,Spices,,
31,Egg plant,Vegetables,,
32,Fennel,Vegetables,,
33,Feta,Cheeses,,
34,Flatleaf Parsley,Herbs,,
35,Garam masala,Spices,,
36,Honey,Sugars,,
37,Kale,Vegetables,,
38,Leek,Vegetables,,
39,Lime,Fruits,,
40,Mint,Herbs,,
41,Mozzarella,Cheeses,,
42,Mushroom,Vegetables,,
43,Mustard,Condiments,,
44,Nutmeg,Spices,,
45,Pea,Vegetables,,
46,Pine nut,Nut,,
47,Pomegranate,Fruits,,
48,Pumpkin seed,Seeds,,
49,Rapeseed oil,Oils,,
50,Red onion,Vegetables,,
51,Red wine,Alcohol,,
52,Rice,Other,,
53,Soy,Other,,
54,Spinach,Spices,,
55,Tahin,Other,,
56,Turmeric,Spices,,
57,Vegetable stock,Other,,
58,Walnut,Nut,,
59,Yoghurt,Dairy,,
60,Zucchini,Vegetables,,
61,Apricot,Fruits,,
62,Bacon,Meats,,
63,Beef,Meats,,
64,Beef stock,Other,,
65,Beer,Alcohol,,
66,Bread,Other,,
67,Brocolli,Vegetables,,
68,Celeriac,Vegetables,,
69,Celery,Vegetables,,
70,Chicken,Meats,,
71,Chive,Herbs,,
72,Cranberry,Berries,,
73,Cream,Dairy,,
74,Creme fraiche,Dairy,,
75,Dill,Herbs,,
76,Fish sauce,Other,,
77,Hazelnut,Nut,,
78,Oragano,Herbs,,
79,Paprika,Spices,,
80,Parsley root,Vegetables,,
81,Peanit,Nut,,
82,Pointed cabbage,Vegetables,,
83,Raisin,Fruits,,
84,Rye bread,Other,,
85,Salad,Other,,
86,Salmon,Meats,,
87,Shallot,Vegetables,,
88,Vanilla,Herbs,,
89,Watercress,Vegetables,,
90,White wine vinegar,Vinegars,,
91,Wood sorrel,Herbs,,
92,Worcestershire sauce,Condiments,,
