Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cocoa,Other,Garlic,Herbs,Garlic,Herbs
2,Lime,Fruits,Olive oil,Oils,Onion,Vegetables
3,Bourbon,Alcohol,Cumin,Spices,Paprika,Spices
4,Cointreau,Liqueurs,Pepper,Spices,Pepper,Spices
5,Green chartreuse,Alcohol,Onion,Vegetables,Chili,Herbs
6,Orange,Fruits,Cilantro,Herbs,Mayonnaise,Condiments
7,,,Tomato,Vegetables,Lemon,Fruits
8,,,Lemon,Fruits,Olive oil,Oils
9,,,Paprika,Spices,Avocado,Vegetables
10,,,Smoked paprika,Spices,Buttermilk,Dairy
11,,,Chili,Herbs,Cheddar,Cheeses
12,,,Cinnamon,Spices,Cilantro,Herbs
13,,,Creme fraiche,Dairy,Cream,Dairy
14,,,Ginger,Herbs,Cumin,Spices
15,,,Mustard,Condiments,Honey,Sugars
16,,,Parsley,Herbs,Mustard,Condiments
17,,,Red onion,Vegetables,Oragano,Herbs
18,,,Apple cider vinegar,Vinegars,,
19,,,Avocado,Vegetables,,
20,,,Balsamic vinegar,Vinegars,,
21,,,Bay leaf,Herbs,,
22,,,Bell pepper,Vegetables,,
23,,,Cardamom,Spices,,
24,,,Carrot,Other,,
25,,,Cauliflower,Vegetables,,
26,,,Cheddar,Cheeses,,
27,,,Chicken stock,Other,,
28,,,Chick pea,Vegetables,,
29,,,Cream,Dairy,,
30,,,Cucumber,Vegetables,,
31,,,Feta,Cheeses,,
32,,,Flatleaf Parsley,Herbs,,
33,,,Garam masala,Spices,,
34,,,Honey,Sugars,,
35,,,Ketchup,Condiments,,
36,,,Lime,Fruits,,
37,,,Mayonnaise,Condiments,,
38,,,Mint,Herbs,,
39,,,Oragano,Herbs,,
40,,,Pea,Vegetables,,
41,,,Potato,Vegetables,,
42,,,Rice,Other,,
43,,,Spring onion,Vegetables,,
44,,,Tahin,Other,,
45,,,Turmeric,Spices,,
46,,,White wine,Alcohol,,
47,,,Worcestershire sauce,Condiments,,
48,,,Yoghurt,Dairy,,
49,,,Zucchini,Vegetables,,
50,,,Apple,Fruits,,
51,,,Apple cider,Alcohol,,
52,,,Apricot,Fruits,,
53,,,Arugula,Vegetables,,
54,,,Asparagus,Vegetables,,
55,,,Bean,Vegetables,,
56,,,Beef,Meats,,
57,,,Beer,Alcohol,,
58,,,Beetroot,Vegetables,,
59,,,Brandy,Alcohol,,
60,,,Bread,Other,,
61,,,Brocolli,Vegetables,,
62,,,Buttermilk,Dairy,,
63,,,Cashew,Nut,,
64,,,Celery,Vegetables,,
65,,,Chicken,Meats,,
66,,,Chorizo,Meats,,
67,,,Cloves,Spices,,
68,,,Coconut,Nut,,
69,,,Coriander seed,Other,,
70,,,Corn,Vegetables,,
71,,,Courgette,Vegetables,,
72,,,Couscous,Other,,
73,,,Curry,Spices,,
74,,,Date,Fruits,,
75,,,Dill,Herbs,,
76,,,Fennel seed,Spices,,
77,,,Fish sauce,Other,,
78,,,Leek,Vegetables,,
79,,,Mango,Fruits,,
80,,,Maple syrup,Sugars,,
81,,,Mushroom,Vegetables,,
82,,,Nutmeg,Spices,,
83,,,Parmesan,Dairy,,
84,,,Parsley root,Vegetables,,
85,,,Peanut butter,Nut,,
86,,,Pine nut,Nut,,
87,,,Pork,Meats,,
88,,,Rapeseed oil,Oils,,
89,,,Sage,Herbs,,
90,,,Salad,Other,,
91,,,Shallot,Vegetables,,
92,,,Soy,Other,,
93,,,Tarragon,Herbs,,
94,,,Timian,Herbs,,
95,,,Vegetable stock,Other,,
96,,,Watercress,Vegetables,,
