Rank,Savory,Category
1,Onion,Vegetables
2,Carrot,Other
3,Garlic,Herbs
4,Pepper,Spices
5,Bay leaf,Herbs
6,Timian,Herbs
7,Olive oil,Oils
8,Lemon,Fruits
9,Parsley,Herbs
10,Leek,Vegetables
11,Potato,Vegetables
12,Bacon,Meats
13,Mustard,Condiments
14,Red wine,Alcohol
15,Allspice,Spices
16,Apple,Fruits
17,Bread,Other
18,Celery,Vegetables
19,Chicken,Meats
20,Chicken stock,Other
21,Cloves,Spices
22,Creme fraiche,Dairy
23,Cumin,Spices
24,Curry,Spices
25,Ginger,Herbs
26,Mayonnaise,Condiments
27,Nutmeg,Spices
28,Paprika,Spices
29,Parmesan,Dairy
30,Parsley root,Vegetables
31,Pork,Meats
32,Prune,Fruits
33,Rosemary,Herbs
34,Spinach,Spices
35,Spring onion,Vegetables
36,Tomato,Vegetables
37,White wine,Alcohol
38,Yoghurt,Dairy
39,Asparagus,Vegetables
40,Basil,Herbs
41,Beef,Meats
42,Bell pepper,Vegetables
43,Brocolli,Vegetables
44,Capers,Other
45,Cardamom,Spices
46,Cauliflower,Vegetables
47,Chick pea,Vegetables
48,Chili,Herbs
49,Chive,Herbs
50,Cognac,Alcohol
51,Fennel,Vegetables
52,Hazelnut,Nut
53,Honey,Sugars
54,Kale,Vegetables
55,Mushroom,Vegetables
56,Orange,Fruits
57,Pistachio,Nut
58,Pomegranate,Fruits
59,Red cabbage,Vegetables
60,Rye bread,Other
61,Sage,Herbs
62,Sesame seed,Seeds
63,Walnut,Nut
64,White wine vinegar,Vinegars
