Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Garlic,Herbs
2,Olive oil,Oils,Onion,Vegetables
3,Pepper,Spices,Pepper,Spices
4,Onion,Vegetables,Olive oil,Oils
5,Tomato,Vegetables,Paprika,Spices
6,Chili,Herbs,Almond,Nut
7,Cumin,Spices,Cayenne pepper,Spices
8,Cilantro,Herbs,Chicken stock,Other
9,Avocado,Vegetables,Chili,Herbs
10,Corn,Vegetables,Cream,Dairy
11,Cream,Dairy,Creme fraiche,Dairy
12,Creme fraiche,Dairy,Cumin,Spices
13,Lime,Fruits,Lemon,Fruits
14,Mustard,Condiments,Mayonnaise,Condiments
15,Paprika,Spices,Mustard,Condiments
16,Red onion,Vegetables,Oragano,Herbs
17,Smoked paprika,Spices,Parmesan,Dairy
18,Zucchini,Vegetables,Sweet potato,Vegetables
19,Bean,Vegetables,Tomato,Vegetables
20,Beef,Meats,,
21,Bell pepper,Vegetables,,
22,Carrot,Other,,
23,Cauliflower,Vegetables,,
24,Cayenne pepper,Spices,,
25,Celery,Vegetables,,
26,Chicken,Meats,,
27,Chicken stock,Other,,
28,Chorizo,Meats,,
29,Cinnamon,Spices,,
30,Cucumber,Vegetables,,
31,Leek,Vegetables,,
32,Lemon,Fruits,,
33,Mayonnaise,Condiments,,
34,Nutmeg,Spices,,
35,Oragano,Herbs,,
36,Parmesan,Dairy,,
37,Parsley,Herbs,,
38,Potato,Vegetables,,
39,Spinach,Spices,,
40,Spring onion,Vegetables,,
41,Sundried tomato,Vegetables,,
42,Timian,Herbs,,
43,Worcestershire sauce,Condiments,,
44,Apricot,Fruits,,
45,Arugula,Vegetables,,
46,Bacon,Meats,,
47,Balsamic vinegar,Vinegars,,
48,Basil,Herbs,,
49,Bay leaf,Herbs,,
50,Beef stock,Other,,
51,Beer,Alcohol,,
52,Beetroot,Vegetables,,
53,Brocolli,Vegetables,,
54,Buttermilk,Dairy,,
55,Capers,Other,,
56,Cardamom,Spices,,
57,Chick pea,Vegetables,,
58,Chive,Herbs,,
59,Cloves,Spices,,
60,Cream cheese,Cheeses,,
61,Dark chocolate,Other,,
62,Egg plant,Vegetables,,
63,Feta,Cheeses,,
64,Flatleaf Parsley,Herbs,,
65,Flaxseed,Seeds,,
66,Ginger,Herbs,,
67,Honey,Sugars,,
68,Jamón,Meats,,
69,Ketchup,Condiments,,
70,Lemongrass,Herbs,,
71,Mint,Herbs,,
72,Mozzarella,Cheeses,,
73,Mushroom,Vegetables,,
74,Pea,Vegetables,,
75,Pineapple,Fruits,,
76,Pumpkin,Vegetables,,
77,Rapeseed oil,Oils,,
78,Red wine,Alcohol,,
79,Rice,Other,,
80,Rosemary,Herbs,,
81,Sage,Herbs,,
82,Salad,Other,,
83,Sesame seed,Seeds,,
84,Shallot,Vegetables,,
85,Soy,Other,,
86,Vegetable stock,Other,,
87,Walnut,Nut,,
88,White wine vinegar,Vinegars,,
89,Yoghurt,Dairy,,
