Rank,Savory,Category,Sweet,Category
1,Onion,Vegetables,Vanilla,Herbs
2,Allspice,Spices,Cherry,Berries
3,Carrot,Other,Dark chocolate,Other
4,Celery,Vegetables,Hazelnut,Nut
5,Cognac,Alcohol,Lemon,Fruits
6,Leek,Vegetables,White chocolate,Other
7,Mustard,Condiments,Blueberry,Berries
8,Nutmeg,Spices,Milk chocolate,Other
9,Olive oil,Oils,Rhubarb,Fruits
10,Orange,Fruits,Almond,Nut
11,Pepper,Spices,Blackberry,Berries
12,Pork,Meats,Blackcurrant,Berries
13,Red cabbage,Vegetables,Cocoa,Other
14,Tarragon,Herbs,Condensed milk,Dairy
15,Timian,Herbs,Elderflower,Herbs
16,Walnut,Nut,Gooseberry,Berries
17,,,Marzipan,Other
18,,,Mascarpone,Cheeses
19,,,Pistachio,Nut
20,,,Portwine,Alcohol
21,,,Redcurrant,Berries
22,,,Strawberry,Berries
