Rank,Savory,Category,Sweet,Category
1,Vanilla,Herbs,Almond,Nut
2,Banana,Fruits,Vanilla,Herbs
3,Date,Fruits,Cocoa,Other
4,Yoghurt,Dairy,Coconut,Nut
5,Almond,Nut,Date,Fruits
6,Avocado,Vegetables,Hazelnut,Nut
7,Cardamom,Spices,Chokeberry,Berries
8,Cocoa,Other,Cinnamon,Spices
9,Honey,Sugars,Dark chocolate,Other
10,Cinnamon,Spices,Flaxseed,Seeds
11,Coconut,Nut,Ginger,Herbs
12,Coconut sugar,Sugars,Honey,Sugars
13,Dark chocolate,Other,Lime,Fruits
14,Flaxseed,Seeds,Pistachio,Nut
15,Mango,Fruits,White chocolate,Other
16,Maple syrup,Sugars,Blackcurrant,Berries
17,Mint,Herbs,Cardamom,Spices
18,Orange,Fruits,Condensed milk,Dairy
19,Parsley,Herbs,Fig,Fruits
20,Pecan,Nut,Lemon,Fruits
21,Raspberry,Berries,Licorice,Candy
22,White chocolate,Other,Pomegranate,Fruits
23,,,Pumpkin seed,Seeds
24,,,Rye bread,Other
25,,,Sesame seed,Seeds
26,,,Turmeric,Spices
27,,,Walnut,Nut
28,,,Wood sorrel,Herbs
