Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Spring onion,Vegetables
2,Garlic,Herbs,Bell pepper,Vegetables
3,Cumin,Spices,Chili,Herbs
4,Cilantro,Herbs,Cumin,Spices
5,Tomato,Vegetables,Lemon,Fruits
6,Lemon,Fruits,Maple syrup,Sugars
7,Red onion,Vegetables,Mustard,Condiments
8,Tahin,Other,Olive oil,Oils
9,Onion,Vegetables,,
10,Parsley,Herbs,,
11,Pepper,Spices,,
12,Chili,Herbs,,
13,Ginger,Herbs,,
14,Arugula,Vegetables,,
15,Avocado,Vegetables,,
16,Balsamic vinegar,Vinegars,,
17,Bell pepper,Vegetables,,
18,Cardamom,Spices,,
19,Carrot,Other,,
20,Cayenne pepper,Spices,,
21,Cinnamon,Spices,,
22,Coconut,Nut,,
23,Coriander seed,Other,,
24,Couscous,Other,,
25,Creme fraiche,Dairy,,
26,Cucumber,Vegetables,,
27,Garam masala,Spices,,
28,Lime,Fruits,,
29,Mint,Herbs,,
30,Oragano,Herbs,,
31,Paprika,Spices,,
32,Potato,Vegetables,,
33,Rice,Other,,
34,Smoked paprika,Spices,,
35,Spinach,Spices,,
36,Spring onion,Vegetables,,
37,Sweet potato,Vegetables,,
38,Timian,Herbs,,
39,Turmeric,Spices,,
40,Vegetable stock,Other,,
41,Yoghurt,Dairy,,
42,Zucchini,Vegetables,,
43,Almond,Nut,,
44,Apple cider vinegar,Vinegars,,
45,Apricot,Fruits,,
46,Bay leaf,Herbs,,
47,Bean,Vegetables,,
48,Beetroot,Vegetables,,
49,Brocolli,Vegetables,,
50,Capers,Other,,
51,Cauliflower,Vegetables,,
52,Celeriac,Vegetables,,
53,Celery,Vegetables,,
54,Cheddar,Cheeses,,
55,Chicken,Meats,,
56,Chicken stock,Other,,
57,Chorizo,Meats,,
58,Cloves,Spices,,
59,Coconut sugar,Sugars,,
60,Cream,Dairy,,
61,Curry,Spices,,
62,Date,Fruits,,
63,Dill,Herbs,,
64,Edamame,Vegetables,,
65,Egg plant,Vegetables,,
66,Fennel seed,Spices,,
67,Feta,Cheeses,,
68,Flatleaf Parsley,Herbs,,
69,Hazelnut,Nut,,
70,Honey,Sugars,,
71,Kale,Vegetables,,
72,Leek,Vegetables,,
73,Maple syrup,Sugars,,
74,Parmesan,Dairy,,
75,Pea,Vegetables,,
76,Peanit,Nut,,
77,Peanut butter,Nut,,
78,Pine nut,Nut,,
79,Pork,Meats,,
80,Pumpkin seed,Seeds,,
81,Saffron,Herbs,,
82,Salad,Other,,
83,Sesame seed,Seeds,,
84,Shallot,Vegetables,,
85,Soy,Other,,
