Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Celery,Vegetables,Garlic,Herbs,Pepper,Spices
2,Lemon,Fruits,Olive oil,Oils,Garlic,Herbs
3,Parsley,Herbs,Onion,Vegetables,Onion,Vegetables
4,,,Pepper,Spices,Cream,Dairy
5,,,Bay leaf,Herbs,Parsley,Herbs
6,,,Parsley,Herbs,Timian,Herbs
7,,,Carrot,Other,Buttermilk,Dairy
8,,,Chili,Herbs,Chili,Herbs
9,,,Cilantro,Herbs,Honey,Sugars
10,,,Cream,Dairy,Lemon,Fruits
11,,,Lemon,Fruits,Olive oil,Oils
12,,,Parmesan,Dairy,Carrot,Other
13,,,Potato,Vegetables,Cheddar,Cheeses
14,,,Red onion,Vegetables,Cinnamon,Spices
15,,,Shallot,Vegetables,Cumin,Spices
16,,,Timian,Herbs,Dill,Herbs
17,,,Tomato,Vegetables,Ginger,Herbs
18,,,White wine,Alcohol,Mustard,Condiments
19,,,Celery,Vegetables,Oragano,Herbs
20,,,Cheddar,Cheeses,Pea,Vegetables
21,,,Cinnamon,Spices,Red onion,Vegetables
22,,,Couscous,Other,Rosemary,Herbs
23,,,Creme fraiche,Dairy,Smoked paprika,Spices
24,,,Cumin,Spices,Soy,Other
25,,,Flatleaf Parsley,Herbs,Sweet potato,Vegetables
26,,,Ginger,Herbs,Tomato,Vegetables
27,,,Honey,Sugars,White wine,Alcohol
28,,,Leek,Vegetables,,
29,,,Mustard,Condiments,,
30,,,Oragano,Herbs,,
31,,,Paprika,Spices,,
32,,,Pea,Vegetables,,
33,,,Red wine,Alcohol,,
34,,,Rice,Other,,
35,,,Rosemary,Herbs,,
36,,,Spring onion,Vegetables,,
37,,,Turmeric,Spices,,
38,,,Yoghurt,Dairy,,
39,,,Apple,Fruits,,
40,,,Apple cider,Alcohol,,
41,,,Apple cider vinegar,Vinegars,,
42,,,Asparagus,Vegetables,,
43,,,Bacon,Meats,,
44,,,Balsamic vinegar,Vinegars,,
45,,,Banana,Fruits,,
46,,,Basil,Herbs,,
47,,,Beef,Meats,,
48,,,Beef stock,Other,,
49,,,Beetroot,Vegetables,,
50,,,Bell pepper,Vegetables,,
51,,,Brandy,Alcohol,,
52,,,Brocolli,Vegetables,,
53,,,Buttermilk,Dairy,,
54,,,Butternut squash,Vegetables,,
55,,,Capers,Other,,
56,,,Cardamom,Spices,,
57,,,Cayenne pepper,Spices,,
58,,,Celeriac,Vegetables,,
59,,,Chicken,Meats,,
60,,,Chick pea,Vegetables,,
61,,,Chive,Herbs,,
62,,,Chorizo,Meats,,
63,,,Cloves,Spices,,
64,,,Coconut,Nut,,
65,,,Coriander seed,Other,,
66,,,Cucumber,Vegetables,,
67,,,Curry,Spices,,
68,,,Dark chocolate,Other,,
69,,,Fennel,Vegetables,,
70,,,Fennel seed,Spices,,
71,,,Feta,Cheeses,,
72,,,Fish sauce,Other,,
73,,,Garam masala,Spices,,
74,,,Hazelnut,Nut,,
75,,,Kale,Vegetables,,
76,,,Lemongrass,Herbs,,
77,,,Lime,Fruits,,
78,,,Mango,Fruits,,
79,,,Maple syrup,Sugars,,
80,,,Mascarpone,Cheeses,,
81,,,Mayonnaise,Condiments,,
82,,,Mint,Herbs,,
83,,,Mushroom,Vegetables,,
84,,,Nutmeg,Spices,,
85,,,Parsley root,Vegetables,,
86,,,Pickling vinegar,Vinegars,,
87,,,Pine nut,Nut,,
88,,,Pork,Meats,,
89,,,Raisin,Fruits,,
90,,,Rapeseed oil,Oils,,
91,,,Rhubarb,Fruits,,
92,,,Ricotta,Cheeses,,
93,,,Saffron,Herbs,,
94,,,Sage,Herbs,,
95,,,Sesame oil,Oils,,
96,,,Sesame seed,Seeds,,
97,,,Smoked paprika,Spices,,
98,,,Soy,Other,,
99,,,Spinach,Spices,,
100,,,Star anise,Spices,,
101,,,Sweet potato,Vegetables,,
102,,,Tarragon,Herbs,,
103,,,Tequila,Alcohol,,
104,,,Vanilla,Herbs,,
105,,,Walnut,Nut,,
106,,,Watercress,Vegetables,,
107,,,White wine vinegar,Vinegars,,
108,,,Worcestershire sauce,Condiments,,
109,,,Zucchini,Vegetables,,
