Rank,Savory,Category
1,Garlic,Herbs
2,Pepper,Spices
3,Olive oil,Oils
4,Onion,Vegetables
5,Tomato,Vegetables
6,Cilantro,Herbs
7,Ginger,Herbs
8,Lime,Fruits
9,Bell pepper,Vegetables
10,Carrot,Other
11,Chili,Herbs
12,Coconut,Nut
13,Cumin,Spices
14,Lemon,Fruits
15,Parsley,Herbs
16,Spring onion,Vegetables
17,Timian,Herbs
18,Apple cider vinegar,Vinegars
19,Avocado,Vegetables
20,Bacon,Meats
21,Bay leaf,Herbs
22,Bean sprout,Vegetables
23,Brocolli,Vegetables
24,Cardamom,Spices
25,Cashew,Nut
26,Celery,Vegetables
27,Cheddar,Cheeses
28,Chorizo,Meats
29,Cinnamon,Spices
30,Cloves,Spices
31,Coconut sugar,Sugars
32,Creme fraiche,Dairy
33,Cucumber,Vegetables
34,Curry,Spices
35,Fish sauce,Other
36,Garam masala,Spices
37,Honey,Sugars
38,Leek,Vegetables
39,Lemongrass,Herbs
40,Mushroom,Vegetables
41,Mustard,Condiments
42,Oragano,Herbs
43,Paprika,Spices
44,Potato,Vegetables
45,Red onion,Vegetables
46,Rice,Other
47,Rosemary,Herbs
48,Smoked paprika,Spices
49,Soy,Other
50,Spinach,Spices
51,Turmeric,Spices
52,Yoghurt,Dairy
53,Zucchini,Vegetables
54,Almond,Nut
55,Apple,Fruits
56,Arugula,Vegetables
57,Banana,Fruits
58,Basil,Herbs
59,Bean,Vegetables
60,Beef,Meats
61,Bread,Other
62,Buttermilk,Dairy
63,Cauliflower,Vegetables
64,Cayenne pepper,Spices
65,Celeriac,Vegetables
66,Chicken stock,Other
67,Chick pea,Vegetables
68,Chive,Herbs
69,Cocoa,Other
70,Cognac,Alcohol
71,Corn,Vegetables
72,Cream cheese,Cheeses
73,Dill,Herbs
74,Edamame,Vegetables
75,Egg plant,Vegetables
76,Feta,Cheeses
77,Kale,Vegetables
78,Ketchup,Condiments
79,Mango,Fruits
80,Mayonnaise,Condiments
81,Mint,Herbs
82,Mozzarella,Cheeses
83,Noodle,Other
84,Orange,Fruits
85,Parmesan,Dairy
86,Parsley root,Vegetables
87,Pasta,Other
88,Peanit,Nut
89,Peanut butter,Nut
90,Pickling vinegar,Vinegars
91,Pineapple,Fruits
92,Pistachio,Nut
93,Plum,Berries
94,Pointed cabbage,Vegetables
95,Raisin,Fruits
96,Red wine,Alcohol
97,Rhubarb,Fruits
98,Ricotta,Cheeses
99,Rye bread,Other
100,Sage,Herbs
101,Salad,Other
102,Sesame seed,Seeds
103,Sundried tomato,Vegetables
104,Tarragon,Herbs
105,Vanilla,Herbs
106,White wine,Alcohol
107,Worcestershire sauce,Condiments
