Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Garlic,Herbs
2,Pisco,Alcohol,Olive oil,Oils,Pepper,Spices
3,,,Onion,Vegetables,Lemon,Fruits
4,,,Cilantro,Herbs,Onion,Vegetables
5,,,Ginger,Herbs,Vanilla,Herbs
6,,,Pepper,Spices,Almond,Nut
7,,,Tomato,Vegetables,Cinnamon,Spices
8,,,Cumin,Spices,Cream,Dairy
9,,,Lime,Fruits,Lime,Fruits
10,,,Carrot,Other,Olive oil,Oils
11,,,Fish sauce,Other,Avocado,Vegetables
12,,,Lemon,Fruits,Cayenne pepper,Spices
13,,,Red onion,Vegetables,Courgette,Vegetables
14,,,Soy,Other,Cumin,Spices
15,,,Spring onion,Vegetables,Paprika,Spices
16,,,Avocado,Vegetables,Smoked paprika,Spices
17,,,Balsamic vinegar,Vinegars,Allspice,Spices
18,,,Bay leaf,Herbs,Apple,Fruits
19,,,Bell pepper,Vegetables,Bell pepper,Vegetables
20,,,Capers,Other,Cardamom,Spices
21,,,Cheddar,Cheeses,Cashew,Nut
22,,,Chicken,Meats,Cheddar,Cheeses
23,,,Chicken stock,Other,Chicken stock,Other
24,,,Cinnamon,Spices,Chick pea,Vegetables
25,,,Coconut,Nut,Cilantro,Herbs
26,,,Cream,Dairy,Cloves,Spices
27,,,Creme fraiche,Dairy,Cocoa,Other
28,,,Cucumber,Vegetables,Coconut,Nut
29,,,Garam masala,Spices,Coffee,Beverages
30,,,Honey,Sugars,Coriander seed,Other
31,,,Mint,Herbs,Couscous,Other
32,,,Oragano,Herbs,Creme fraiche,Dairy
33,,,Paprika,Spices,Dark chocolate,Other
34,,,Parmesan,Dairy,Elderflower,Herbs
35,,,Parsley,Herbs,Fish sauce,Other
36,,,Potato,Vegetables,Garam masala,Spices
37,,,Rice,Other,Ginger,Herbs
38,,,Shallot,Vegetables,Honey,Sugars
39,,,Smoked paprika,Spices,Kiwi,Berries
40,,,Timian,Herbs,Mango,Fruits
41,,,Turmeric,Spices,Maple syrup,Sugars
42,,,White wine,Alcohol,Marshmallow,Candy
43,,,Yoghurt,Dairy,Marzipan,Other
44,,,Zucchini,Vegetables,Mayonnaise,Condiments
45,,,Allspice,Spices,Milk chocolate,Other
46,,,Almond,Nut,Mustard,Condiments
47,,,Anchovy,Meats,Nougat,Other
48,,,Apple,Fruits,Orange,Fruits
49,,,Apple cider vinegar,Vinegars,Oragano,Herbs
50,,,Apricot,Fruits,Parsley,Herbs
51,,,Arugula,Vegetables,Passionfruit,Fruits
52,,,Asparagus,Vegetables,Pecan,Nut
53,,,Bacon,Meats,Pineapple,Fruits
54,,,Banana,Fruits,Pistachio,Nut
55,,,Basil,Herbs,Raspberry,Berries
56,,,Bean,Vegetables,Red onion,Vegetables
57,,,Bean sprout,Vegetables,Rhubarb,Fruits
58,,,Beef,Meats,Sesame seed,Seeds
59,,,Beef stock,Other,Soy,Other
60,,,Beer,Alcohol,Spring onion,Vegetables
61,,,Bread,Other,Star anise,Spices
62,,,Brocolli,Vegetables,Toasted coconut,Nut
63,,,Buttermilk,Dairy,Tomato,Vegetables
64,,,Butternut squash,Vegetables,Turmeric,Spices
65,,,Caraway,Spices,White chocolate,Other
66,,,Cardamom,Spices,Yoghurt,Dairy
67,,,Cashew,Nut,,
68,,,Cauliflower,Vegetables,,
69,,,Cayenne pepper,Spices,,
70,,,Celeriac,Vegetables,,
71,,,Celery,Vegetables,,
72,,,Cherry,Berries,,
73,,,Chick pea,Vegetables,,
74,,,Chive,Herbs,,
75,,,Chorizo,Meats,,
