Rank,Savory,Category
1,Pepper,Spices
2,Lemon,Fruits
3,Mustard,Condiments
4,Creme fraiche,Dairy
5,Mayonnaise,Condiments
6,Onion,Vegetables
7,Bacon,Meats
8,Capers,Other
9,Garlic,Herbs
10,Olive oil,Oils
11,Potato,Vegetables
12,Apple cider vinegar,Vinegars
13,Chili,Herbs
14,Dill,Herbs
15,Parsley,Herbs
16,Red onion,Vegetables
17,Rye bread,Other
18,Apple,Fruits
19,Avocado,Vegetables
20,Basil,Herbs
21,Bay leaf,Herbs
22,Carrot,Other
23,Chicken,Meats
24,Cream cheese,Cheeses
25,Cucumber,Vegetables
26,Curry,Spices
27,Fennel,Vegetables
28,Honey,Sugars
29,Leek,Vegetables
30,Lime,Fruits
31,Mushroom,Vegetables
32,Paprika,Spices
33,Pointed cabbage,Vegetables
34,Salad,Other
35,Smoked salmon,Meats
36,Spinach,Spices
37,Spring onion,Vegetables
38,Tarragon,Herbs
39,Timian,Herbs
40,Tomato,Vegetables
41,Turmeric,Spices
42,White wine,Alcohol
43,White wine vinegar,Vinegars
44,Yoghurt,Dairy
45,Apple vinegar,Vinegars
46,Arugula,Vegetables
47,Asparagus,Vegetables
48,Bean sprout,Vegetables
49,Beef,Meats
50,Beer,Alcohol
51,Beetroot,Vegetables
52,Bell pepper,Vegetables
53,Bread,Other
54,Brocolli,Vegetables
55,Buttermilk,Dairy
56,Cardamom,Spices
57,Cauliflower,Vegetables
58,Celeriac,Vegetables
59,Celery,Vegetables
60,Cheddar,Cheeses
61,Chicken stock,Other
62,Chorizo,Meats
63,Cilantro,Herbs
64,Cinnamon,Spices
65,Cloves,Spices
66,Cocoa,Other
67,Cognac,Alcohol
68,Corn,Vegetables
69,Cumin,Spices
70,Egg plant,Vegetables
71,Feta,Cheeses
72,Fish sauce,Other
73,Ginger,Herbs
74,Hazelnut,Nut
75,Kale,Vegetables
76,Ketchup,Condiments
77,Lemongrass,Herbs
78,Mint,Herbs
79,Mozzarella,Cheeses
80,Nutmeg,Spices
81,Parmesan,Dairy
82,Parsley root,Vegetables
83,Pasta,Other
84,Pea,Vegetables
85,Peanut butter,Nut
86,Pear,Fruits
87,Pomegranate,Fruits
88,Pork,Meats
89,Pumpkin,Vegetables
90,Rosemary,Herbs
91,Sage,Herbs
92,Salmon,Meats
93,Smoked paprika,Spices
94,Soy,Other
95,Vanilla,Herbs
96,Walnut,Nut
97,Zucchini,Vegetables
