Rank,Savory,Category
1,Olive oil,Oils
2,Garlic,Herbs
3,Tomato,Vegetables
4,Pepper,Spices
5,Onion,Vegetables
6,Red onion,Vegetables
7,Timian,Herbs
8,Basil,Herbs
9,Bell pepper,Vegetables
10,Chicken,Meats
11,Lemon,Fruits
12,Mozzarella,Cheeses
13,Mushroom,Vegetables
14,Oragano,Herbs
15,Paprika,Spices
16,Parmesan,Dairy
17,Parsley,Herbs
18,Smoked paprika,Spices
19,Zucchini,Vegetables
20,Arugula,Vegetables
21,Balsamic vinegar,Vinegars
22,Brocolli,Vegetables
23,Celery,Vegetables
24,Cheddar,Cheeses
25,Chicken stock,Other
26,Chick pea,Vegetables
27,Chili,Herbs
28,Cream cheese,Cheeses
29,Cumin,Spices
30,Egg plant,Vegetables
31,Flatleaf Parsley,Herbs
32,Ginger,Herbs
33,Honey,Sugars
34,Leek,Vegetables
35,Mustard,Condiments
36,Pasta,Other
37,Potato,Vegetables
38,Rapeseed oil,Oils
39,Red wine,Alcohol
40,Rice,Other
41,Rosemary,Herbs
42,Spring onion,Vegetables
43,Sundried tomato,Vegetables
44,Yoghurt,Dairy
45,Apple cider vinegar,Vinegars
46,Bacon,Meats
47,Bay leaf,Herbs
48,Beef,Meats
49,Bread,Other
50,Carrot,Other
51,Cayenne pepper,Spices
52,Chive,Herbs
53,Cloves,Spices
54,Corn,Vegetables
55,Fennel,Vegetables
56,Fennel seed,Spices
57,Feta,Cheeses
58,Flaxseed,Seeds
59,Kale,Vegetables
60,Lime,Fruits
61,Mayonnaise,Condiments
62,Nutmeg,Spices
63,Pea,Vegetables
64,Pine nut,Nut
65,Pointed cabbage,Vegetables
66,Pomegranate,Fruits
67,Sage,Herbs
68,Salad,Other
69,Shallot,Vegetables
70,Sourdough,Other
71,Spinach,Spices
