Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Cinnamon,Spices
2,Cumin,Spices,Cumin,Spices
3,Olive oil,Oils,Garlic,Herbs
4,Chili,Herbs,Ginger,Herbs
5,Onion,Vegetables,Olive oil,Oils
6,Ginger,Herbs,Onion,Vegetables
7,Lime,Fruits,Cardamom,Spices
8,Pepper,Spices,Carrot,Other
9,Red onion,Vegetables,Cloves,Spices
10,Tomato,Vegetables,Cocoa,Other
11,Carrot,Other,Dark chocolate,Other
12,Cinnamon,Spices,Lemon,Fruits
13,Lemon,Fruits,Lime,Fruits
14,Mint,Herbs,Nutmeg,Spices
15,Spring onion,Vegetables,Pepper,Spices
16,Turmeric,Spices,Vanilla,Herbs
17,Avocado,Vegetables,White chocolate,Other
18,Bay leaf,Herbs,Allspice,Spices
19,Bell pepper,Vegetables,Almond,Nut
20,Cardamom,Spices,Apple cider vinegar,Vinegars
21,Cayenne pepper,Spices,Banana,Fruits
22,Cheddar,Cheeses,Basil,Herbs
23,Chicken,Meats,Buttermilk,Dairy
24,Chicken stock,Other,Cashew,Nut
25,Chick pea,Vegetables,Cayenne pepper,Spices
26,Cloves,Spices,Chili,Herbs
27,Coconut,Nut,Garam masala,Spices
28,Creme fraiche,Dairy,Honey,Sugars
29,Cucumber,Vegetables,Mango,Fruits
30,Curry,Spices,Maple syrup,Sugars
31,Fish sauce,Other,Mayonnaise,Condiments
32,Garam masala,Spices,Paprika,Spices
33,Honey,Sugars,Passionfruit,Fruits
34,Lemongrass,Herbs,Shallot,Vegetables
35,Paprika,Spices,Tomato,Vegetables
36,Parsley,Herbs,Turmeric,Spices
37,Peanit,Nut,,
38,Potato,Vegetables,,
39,Rice,Other,,
40,Smoked paprika,Spices,,
41,Soy,Other,,
42,Spinach,Spices,,
43,Yoghurt,Dairy,,
44,Zucchini,Vegetables,,
45,Agave nectar,Sugars,,
46,Allspice,Spices,,
47,Almond,Nut,,
48,Apple,Fruits,,
49,Apple cider vinegar,Vinegars,,
50,Apricot,Fruits,,
51,Arugula,Vegetables,,
52,Bacon,Meats,,
53,Balsamic vinegar,Vinegars,,
54,Banana,Fruits,,
55,Basil,Herbs,,
56,Bean,Vegetables,,
57,Bean sprout,Vegetables,,
58,Beef,Meats,,
59,Beef stock,Other,,
60,Beetroot,Vegetables,,
61,Bread,Other,,
62,Brocolli,Vegetables,,
63,Buttermilk,Dairy,,
64,Butternut squash,Vegetables,,
65,Capers,Other,,
66,Cashew,Nut,,
67,Cauliflower,Vegetables,,
68,Celery,Vegetables,,
69,Cherry,Berries,,
70,Chive,Herbs,,
71,Cocoa,Other,,
72,Coconut sugar,Sugars,,
73,Coffee,Beverages,,
74,Cognac,Alcohol,,
75,Coriander seed,Other,,
76,Corn,Vegetables,,
77,Courgette,Vegetables,,
78,Couscous,Other,,
79,Cranberry,Berries,,
80,Cream,Dairy,,
81,Cream cheese,Cheeses,,
82,Dark chocolate,Other,,
83,Date,Fruits,,
84,Dill,Herbs,,
85,Edamame,Vegetables,,
86,Egg plant,Vegetables,,
87,Fennel,Vegetables,,
88,Fennel seed,Spices,,
89,Feta,Cheeses,,
90,Flatleaf Parsley,Herbs,,
91,Hazelnut,Nut,,
92,Kale,Vegetables,,
93,Ketchup,Condiments,,
94,Leek,Vegetables,,
95,Mango,Fruits,,
96,Maple syrup,Sugars,,
97,Mayonnaise,Condiments,,
98,Mushroom,Vegetables,,
99,Mustard,Condiments,,
100,Noodle,Other,,
101,Nutmeg,Spices,,
102,Orange,Fruits,,
103,Oragano,Herbs,,
104,Parmesan,Dairy,,
105,Parsley root,Vegetables,,
106,Pea,Vegetables,,
107,Peanut butter,Nut,,
108,Pear,Fruits,,
109,Pecan,Nut,,
110,Pine nut,Nut,,
111,Pineapple,Fruits,,
112,Pistachio,Nut,,
113,Pointed cabbage,Vegetables,,
114,Pomegranate,Fruits,,
115,Pork,Meats,,
116,Pumpkin,Vegetables,,
117,Pumpkin seed,Seeds,,
118,Raisin,Fruits,,
119,Rapeseed oil,Oils,,
120,Red cabbage,Vegetables,,
121,Red wine,Alcohol,,
122,Rosemary,Herbs,,
123,Saffron,Herbs,,
124,Salad,Other,,
125,Salmon,Meats,,
126,Sesame seed,Seeds,,
127,Shallot,Vegetables,,
128,Smoked salmon,Meats,,
129,Star anise,Spices,,
130,Sundried tomato,Vegetables,,
131,Sweet potato,Vegetables,,
132,Tahin,Other,,
133,Tarragon,Herbs,,
134,Tequila,Alcohol,,
135,Timian,Herbs,,
136,Vanilla,Herbs,,
137,Vegetable stock,Other,,
138,Vodka,Alcohol,,
139,Walnut,Nut,,
140,White wine,Alcohol,,
141,White wine vinegar,Vinegars,,
142,Worcestershire sauce,Condiments,,
