Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Onion,Vegetables,Cinnamon,Spices
2,Lemon,Fruits,Cinnamon,Spices,Ginger,Herbs
3,Honey,Sugars,Pepper,Spices,Vanilla,Herbs
4,Cardamom,Spices,Garlic,Herbs,Cardamom,Spices
5,Orange,Fruits,Bay leaf,Herbs,Orange,Fruits
6,Vanilla,Herbs,Cardamom,Spices,Lemon,Fruits
7,Apple cider,Alcohol,Cumin,Spices,Almond,Nut
8,Ginger,Herbs,Ginger,Herbs,Dark chocolate,Other
9,Nutmeg,Spices,Lemon,Fruits,Honey,Sugars
10,Star anise,Spices,Olive oil,Oils,Marzipan,Other
11,Almond,Nut,Tomato,Vegetables,Allspice,Spices
12,Apple,Fruits,Turmeric,Spices,Cocoa,Other
13,Dark rum,Alcohol,Allspice,Spices,Cream cheese,Cheeses
14,Grand Marnier,Alcohol,Carrot,Other,Hazelnut,Nut
15,Licorice,Candy,Chili,Herbs,Nutmeg,Spices
16,Light rum,Alcohol,Cilantro,Herbs,Raisin,Fruits
17,Peppermint,Herbs,Nutmeg,Spices,Star anise,Spices
18,Rum,Alcohol,Star anise,Spices,White chocolate,Other
19,Schnapps,Alcohol,Yoghurt,Dairy,Apple,Fruits
20,White wine,Alcohol,Almond,Nut,Apricot,Fruits
21,,,Apple,Fruits,Buttermilk,Dairy
22,,,Apple cider vinegar,Vinegars,Carrot,Other
23,,,Bacon,Meats,Currant,Berries
24,,,Beef,Meats,Grand Marnier,Alcohol
25,,,Bell pepper,Vegetables,Lime,Fruits
26,,,Celeriac,Vegetables,Maple syrup,Sugars
27,,,Celery,Vegetables,Marshmallow,Candy
28,,,Chicken,Meats,Pepper,Spices
29,,,Cucumber,Vegetables,Pistachio,Nut
30,,,Garam masala,Spices,Portwine,Alcohol
31,,,Honey,Sugars,Pumpkin,Vegetables
32,,,Leek,Vegetables,Walnut,Nut
33,,,Lime,Fruits,Avocado,Vegetables
34,,,Mayonnaise,Condiments,Black tea,Beverages
35,,,Mint,Herbs,Blackcurrant,Berries
36,,,Mustard,Condiments,Brandy,Alcohol
37,,,Orange,Fruits,Cashew,Nut
38,,,Paprika,Spices,Cherry,Berries
39,,,Parmesan,Dairy,Chili,Herbs
40,,,Parsley,Herbs,Cilantro,Herbs
41,,,Pickling vinegar,Vinegars,Coconut,Nut
42,,,Pork,Meats,Coffee,Beverages
43,,,Red cabbage,Vegetables,Cognac,Alcohol
44,,,Red onion,Vegetables,Condensed milk,Dairy
45,,,Rice,Other,Cranberry,Berries
46,,,Spring onion,Vegetables,Creme fraiche,Dairy
47,,,Timian,Herbs,Dark rum,Alcohol
48,,,Vanilla,Herbs,Date,Fruits
49,,,Apricot,Fruits,Fig,Fruits
50,,,Avocado,Vegetables,Gin,Alcohol
51,,,Balsamic vinegar,Vinegars,Licorice,Candy
52,,,Banana,Fruits,Mascarpone,Cheeses
53,,,Bean sprout,Vegetables,Pear,Fruits
54,,,Beef stock,Other,Pecan,Nut
55,,,Beetroot,Vegetables,Pineapple,Fruits
56,,,Black tea,Beverages,Plum,Berries
57,,,Blackberry,Berries,Red wine,Alcohol
58,,,Bread,Other,Rhubarb,Fruits
59,,,Capers,Other,Rosemary,Herbs
60,,,Caraway,Spices,Rum,Alcohol
61,,,Cashew,Nut,Saffron,Herbs
62,,,Cayenne pepper,Spices,Yoghurt,Dairy
63,,,Cheddar,Cheeses,,
64,,,Cherry,Berries,,
65,,,Chicken stock,Other,,
66,,,Chick pea,Vegetables,,
67,,,Chive,Herbs,,
68,,,Chorizo,Meats,,
69,,,Coconut,Nut,,
70,,,Coconut sugar,Sugars,,
71,,,Cognac,Alcohol,,
72,,,Coriander seed,Other,,
73,,,Corn,Vegetables,,
74,,,Cranberry,Berries,,
75,,,Cream,Dairy,,
76,,,Creme fraiche,Dairy,,
77,,,Currant,Berries,,
78,,,Curry,Spices,,
79,,,Dark rum,Alcohol,,
80,,,Date,Fruits,,
81,,,Dill,Herbs,,
82,,,Fish sauce,Other,,
83,,,Hazelnut,Nut,,
84,,,Lemongrass,Herbs,,
85,,,Licorice,Candy,,
86,,,Light rum,Alcohol,,
87,,,Mango,Fruits,,
88,,,Mushroom,Vegetables,,
89,,,Oragano,Herbs,,
90,,,Parsley root,Vegetables,,
91,,,Peach,Fruits,,
92,,,Pear,Fruits,,
93,,,Pine nut,Nut,,
94,,,Plum,Berries,,
95,,,Pointed cabbage,Vegetables,,
96,,,Portwine,Alcohol,,
97,,,Potato,Vegetables,,
98,,,Raisin,Fruits,,
99,,,Red wine,Alcohol,,
100,,,Ricotta,Cheeses,,
101,,,Rosemary,Herbs,,
102,,,Rye bread,Other,,
103,,,Saffron,Herbs,,
104,,,Salad,Other,,
105,,,Schnapps,Alcohol,,
106,,,Sesame seed,Seeds,,
107,,,Smoked paprika,Spices,,
108,,,Spinach,Spices,,
109,,,Walnut,Nut,,
110,,,White wine,Alcohol,,
111,,,White wine vinegar,Vinegars,,
