Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cayenne pepper,Spices,Honey,Sugars,Vanilla,Herbs
2,Bourbon,Alcohol,Vanilla,Herbs,Dark chocolate,Other
3,Orange,Fruits,Banana,Fruits,Lemon,Fruits
4,,,Chia seed,Seeds,White chocolate,Other
5,,,Chili,Herbs,Almond,Nut
6,,,Cinnamon,Spices,Hazelnut,Nut
7,,,Garlic,Herbs,Marzipan,Other
8,,,Onion,Vegetables,Cinnamon,Spices
9,,,Almond,Nut,Milk chocolate,Other
10,,,Apple cider vinegar,Vinegars,Raspberry,Berries
11,,,Apricot,Fruits,Honey,Sugars
12,,,Avocado,Vegetables,Lime,Fruits
13,,,Blueberry,Berries,Orange,Fruits
14,,,Chicken,Meats,Banana,Fruits
15,,,Chive,Herbs,Blackberry,Berries
16,,,Cilantro,Herbs,Blueberry,Berries
17,,,Cream cheese,Cheeses,Buttermilk,Dairy
18,,,Dark chocolate,Other,Cardamom,Spices
19,,,Dill,Herbs,Cloves,Spices
20,,,Feta,Cheeses,Coconut,Nut
21,,,Ketchup,Condiments,Coffee,Beverages
22,,,Lemon,Fruits,Condensed milk,Dairy
23,,,Lemongrass,Herbs,Cream cheese,Cheeses
24,,,Licorice,Candy,Creme fraiche,Dairy
25,,,Lime,Fruits,Date,Fruits
26,,,Maple syrup,Sugars,Ginger,Herbs
27,,,Marzipan,Other,Grand Marnier,Alcohol
28,,,Mustard,Condiments,Licorice,Candy
29,,,Olive oil,Oils,Marshmallow,Candy
30,,,Paprika,Spices,Mascarpone,Cheeses
31,,,Parmesan,Dairy,Mint,Herbs
32,,,Pecan,Nut,Nougat,Other
33,,,Plum,Berries,Passionfruit,Fruits
34,,,Pointed cabbage,Vegetables,Pecan,Nut
35,,,Pomegranate,Fruits,Pistachio,Nut
36,,,Red onion,Vegetables,Rhubarb,Fruits
37,,,Smoked paprika,Spices,Strawberry,Berries
38,,,Smoked salmon,Meats,Walnut,Nut
39,,,Soy,Other,Wood sorrel,Herbs
40,,,Spinach,Spices,Yoghurt,Dairy
41,,,Tomato,Vegetables,Amaretto,Alcohol
42,,,Walnut,Nut,Apple,Fruits
43,,,Worcestershire sauce,Condiments,Apple cider vinegar,Vinegars
44,,,,,Apricot,Fruits
45,,,,,Avocado,Vegetables
46,,,,,Balsamic vinegar,Vinegars
47,,,,,Basil,Herbs
48,,,,,Beetroot,Vegetables
49,,,,,Blackcurrant,Berries
50,,,,,Blood orange,Fruits
51,,,,,Brandy,Alcohol
52,,,,,Brown cheese,Cheeses
53,,,,,Caraway,Spices
54,,,,,Carrot,Other
55,,,,,Cashew,Nut
56,,,,,Champagne,Alcohol
57,,,,,Cherry,Berries
58,,,,,Chestnut,Nut
59,,,,,Chia seed,Seeds
60,,,,,Chili,Herbs
61,,,,,Cilantro,Herbs
62,,,,,Cloudberry,Berries
63,,,,,Cognac,Alcohol
64,,,,,Cranberry,Berries
65,,,,,Cream,Dairy
66,,,,,Currant,Berries
67,,,,,Dark rum,Alcohol
68,,,,,Elderflower,Herbs
69,,,,,Fig,Fruits
70,,,,,Flaxseed,Seeds
71,,,,,Kiwi,Berries
72,,,,,Lemon balm,Herbs
73,,,,,Mango,Fruits
74,,,,,Maple syrup,Sugars
75,,,,,Marsala,Alcohol
76,,,,,Nutella,Other
77,,,,,Nutmeg,Spices
78,,,,,Peanit,Nut
79,,,,,Peanut butter,Nut
80,,,,,Pepper,Spices
81,,,,,Peppermint,Herbs
82,,,,,Plum,Berries
83,,,,,Poppy seed,Seeds
84,,,,,Portwine,Alcohol
85,,,,,Pumpkin seed,Seeds
86,,,,,Raisin,Fruits
87,,,,,Redcurrant,Berries
88,,,,,Rosemary,Herbs
89,,,,,Rum,Alcohol
90,,,,,Rye bread,Other
91,,,,,Ladyfingers,Other
92,,,,,Sea buckthorn,Berries
93,,,,,Sesame seed,Seeds
94,,,,,Star anise,Spices
95,,,,,Turmeric,Spices
96,,,,,Vodka,Alcohol
97,,,,,White wine vinegar,Vinegars
