Rank,Savory,Category,Sweet,Category
1,Cilantro,Herbs,Almond,Nut
2,Garlic,Herbs,Cinnamon,Spices
3,Chili,Herbs,Dark chocolate,Other
4,Fish sauce,Other,Marzipan,Other
5,Ginger,Herbs,Apple,Fruits
6,Lime,Fruits,Creme fraiche,Dairy
7,Bell pepper,Vegetables,Date,Fruits
8,Carrot,Other,Lemon,Fruits
9,Onion,Vegetables,Lemon balm,Herbs
10,Spring onion,Vegetables,Rhubarb,Fruits
11,Chicken,Meats,Vanilla,Herbs
12,Coconut,Nut,Walnut,Nut
13,Olive oil,Oils,White chocolate,Other
14,Soy,Other,,
15,Tomato,Vegetables,,
16,Apple cider vinegar,Vinegars,,
17,Edamame,Vegetables,,
18,Lemongrass,Herbs,,
19,Mint,Herbs,,
20,Mushroom,Vegetables,,
21,Peanit,Nut,,
22,Red onion,Vegetables,,
23,Rice,Other,,
24,Bacon,Meats,,
25,Basil,Herbs,,
26,Bean sprout,Vegetables,,
27,Bread,Other,,
28,Brocolli,Vegetables,,
29,Cardamom,Spices,,
30,Cashew,Nut,,
31,Chia seed,Seeds,,
32,Chick pea,Vegetables,,
33,Cinnamon,Spices,,
34,Cloves,Spices,,
35,Cucumber,Vegetables,,
36,Cumin,Spices,,
37,Curry,Spices,,
38,Date,Fruits,,
39,Egg plant,Vegetables,,
40,Garam masala,Spices,,
41,Honey,Sugars,,
42,Noodle,Other,,
43,Oragano,Herbs,,
44,Parmesan,Dairy,,
45,Peanut butter,Nut,,
46,Pepper,Spices,,
47,Raspberry,Berries,,
48,Sesame seed,Seeds,,
49,Spinach,Spices,,
50,Sundried tomato,Vegetables,,
51,Timian,Herbs,,
52,Turmeric,Spices,,
53,Vanilla,Herbs,,
54,White chocolate,Other,,
55,Zucchini,Vegetables,,
