Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Whipped Cream,Dairy,Condensed milk,Dairy,Dark chocolate,Other
2,Kahlua,Alcohol,Dark chocolate,Other,Vanilla,Herbs
3,Mint,Herbs,Cilantro,Herbs,Cocoa,Other
4,Vodka,Alcohol,Cinnamon,Spices,Lemon,Fruits
5,Angostura,Alcohol,Cumin,Spices,Almond,Nut
6,Condensed milk,Dairy,Onion,Vegetables,White chocolate,Other
7,Cream,Dairy,Tomato,Vegetables,Buttermilk,Dairy
8,Dark chocolate,Other,,,Hazelnut,Nut
9,Grand Marnier,Alcohol,,,Milk chocolate,Other
10,Orange,Fruits,,,Cinnamon,Spices
11,Salt caramel,Other,,,Cognac,Alcohol
12,Smoked paprika,Spices,,,Creme fraiche,Dairy
13,Vanilla,Herbs,,,Dark rum,Alcohol
14,,,,,Ginger,Herbs
15,,,,,Marzipan,Other
16,,,,,Orange,Fruits
17,,,,,Walnut,Nut
18,,,,,Amaretto,Alcohol
19,,,,,Apple,Fruits
20,,,,,Apricot,Fruits
21,,,,,Baileys,Alcohol
22,,,,,Beer,Alcohol
23,,,,,Cardamom,Spices
24,,,,,Cashew,Nut
25,,,,,Champagne,Alcohol
26,,,,,Chili,Herbs
27,,,,,Cloves,Spices
28,,,,,Coconut,Nut
29,,,,,Cointreau,Liqueurs
30,,,,,Condensed milk,Dairy
31,,,,,Elderflower,Herbs
32,,,,,Grand Marnier,Alcohol
33,,,,,Kahlua,Alcohol
34,,,,,Licorice,Candy
35,,,,,Marsala,Alcohol
36,,,,,Marshmallow,Candy
37,,,,,Mascarpone,Cheeses
38,,,,,Nougat,Other
39,,,,,Nutmeg,Spices
40,,,,,Pecan,Nut
41,,,,,Peppermint,Herbs
42,,,,,Pine nut,Nut
43,,,,,Raisin,Fruits
44,,,,,Raspberry,Berries
45,,,,,Salt caramel,Other
46,,,,,Ladyfingers,Other
47,,,,,Sea buckthorn,Berries
48,,,,,Strawberry,Berries
49,,,,,Vodka,Alcohol
50,,,,,Wood sorrel,Herbs
