Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Cardamom,Spices,Orange,Fruits
2,Lemon,Fruits,Cinnamon,Spices,Vanilla,Herbs
3,Tequila,Alcohol,Cranberry,Berries,Dark chocolate,Other
4,Orange,Fruits,Honey,Sugars,White chocolate,Other
5,Vodka,Alcohol,Lemon,Fruits,Almond,Nut
6,Gin,Alcohol,Lime,Fruits,Amaretto,Alcohol
7,Light rum,Alcohol,Orange,Fruits,Cardamom,Spices
8,Agave nectar,Sugars,Pepper,Spices,Cinnamon,Spices
9,Blackberry,Berries,Timian,Herbs,Coffee,Beverages
10,Cognac,Alcohol,Vodka,Alcohol,Condensed milk,Dairy
11,Cranberry,Berries,,,Ginger,Herbs
12,Grapefruit,Fruits,,,Lemon,Fruits
13,Mint,Herbs,,,Lime,Fruits
14,Rum,Alcohol,,,Marzipan,Other
15,Absinthe,Alcohol,,,Milk chocolate,Other
16,Amaretto,Alcohol,,,Pecan,Nut
17,Angostura,Alcohol,,,Turmeric,Spices
18,Aperol,Alcohol,,,Walnut,Nut
19,Averna Amaro,Alcohol,,,,
20,Bénédictine,Alcohol,,,,
21,Blue curaçao,Alcohol,,,,
22,Bourbon,Alcohol,,,,
23,Campari,Alcohol,,,,
24,Cayenne pepper,Spices,,,,
25,Champagne,Alcohol,,,,
26,Cherry,Berries,,,,
27,Cinnamon,Spices,,,,
28,Cumin,Spices,,,,
29,Dark rum,Alcohol,,,,
30,Dry vermouth,Alcohol,,,,
31,Honey,Sugars,,,,
32,Licorice,Candy,,,,
33,Lillet blanc,Alcohol,,,,
34,Maraschino liqueur,Alcohol,,,,
35,Orange bitter,Alcohol,,,,
36,Pepper,Spices,,,,
37,Peychaud's Bitters,Alcohol,,,,
38,Pineapple,Fruits,,,,
39,Rosemary,Herbs,,,,
40,Rye whiskey,Alcohol,,,,
41,Scotch,Alcohol,,,,
42,St. Germain,Alcohol,,,,
43,Star anise,Spices,,,,
44,Sweet vermouth,Alcohol,,,,
45,Vanilla,Herbs,,,,
46,Watermelon,Fruits,,,,
