Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Coffee,Beverages,Dark chocolate,Other,Vanilla,Herbs
2,,,Coconut,Nut,Dark chocolate,Other
3,,,Coffee,Beverages,White chocolate,Other
4,,,Dark rum,Alcohol,Lemon,Fruits
5,,,,,Hazelnut,Nut
6,,,,,Almond,Nut
7,,,,,Coconut,Nut
8,,,,,Lime,Fruits
9,,,,,Cocoa,Other
10,,,,,Marzipan,Other
11,,,,,Cinnamon,Spices
12,,,,,Ginger,Herbs
13,,,,,Licorice,Candy
14,,,,,Milk chocolate,Other
15,,,,,Orange,Fruits
16,,,,,Passionfruit,Fruits
17,,,,,Pistachio,Nut
18,,,,,Apple,Fruits
19,,,,,Apricot,Fruits
20,,,,,Blackberry,Berries
21,,,,,Blackcurrant,Berries
22,,,,,Cardamom,Spices
23,,,,,Cloves,Spices
24,,,,,Creme fraiche,Dairy
25,,,,,Elderflower,Herbs
26,,,,,Gooseberry,Berries
27,,,,,Honey,Sugars
28,,,,,Mango,Fruits
29,,,,,Marshmallow,Candy
30,,,,,Nutmeg,Spices
31,,,,,Pecan,Nut
32,,,,,Raspberry,Berries
33,,,,,Redcurrant,Berries
34,,,,,Rhubarb,Fruits
35,,,,,Star anise,Spices
36,,,,,Toasted coconut,Nut
37,,,,,Walnut,Nut
38,,,,,Allspice,Spices
39,,,,,Balsamic vinegar,Vinegars
40,,,,,Banana,Fruits
41,,,,,Cashew,Nut
42,,,,,Chestnut,Nut
43,,,,,Chia seed,Seeds
44,,,,,Chokeberry,Berries
45,,,,,Coffee,Beverages
46,,,,,Cointreau,Liqueurs
47,,,,,Cream cheese,Cheeses
48,,,,,Goat cheese,Cheeses
49,,,,,Lemon balm,Herbs
50,,,,,Maple syrup,Sugars
51,,,,,Mascarpone,Cheeses
52,,,,,Nougat,Other
53,,,,,Peanit,Nut
54,,,,,Pear,Fruits
55,,,,,Pomegranate,Fruits
56,,,,,Prune,Fruits
57,,,,,Pumpkin,Vegetables
58,,,,,Rum,Alcohol
59,,,,,Sea buckthorn,Berries
60,,,,,Sesame seed,Seeds
61,,,,,Strawberry,Berries
62,,,,,Tarragon,Herbs
63,,,,,Yoghurt,Dairy
