Rank,Savory,Category,Sweet,Category
1,Cumin,Spices,Olive oil,Oils
2,Garlic,Herbs,Carrot,Other
3,Olive oil,Oils,Chili,Herbs
4,Onion,Vegetables,Cinnamon,Spices
5,Turmeric,Spices,Courgette,Vegetables
6,Cilantro,Herbs,Couscous,Other
7,Fennel seed,Spices,Cumin,Spices
8,Ginger,Herbs,Hazelnut,Nut
9,Chili,Herbs,Maple syrup,Sugars
10,Pepper,Spices,Sesame seed,Seeds
11,Chick pea,Vegetables,Timian,Herbs
12,Cinnamon,Spices,Yoghurt,Dairy
13,Cloves,Spices,,
14,Garam masala,Spices,,
15,Lemon,Fruits,,
16,Red onion,Vegetables,,
17,Sesame seed,Seeds,,
18,Spring onion,Vegetables,,
19,Tomato,Vegetables,,
20,Yoghurt,Dairy,,
21,Arugula,Vegetables,,
22,Avocado,Vegetables,,
23,Balsamic vinegar,Vinegars,,
24,Basil,Herbs,,
25,Bay leaf,Herbs,,
26,Carrot,Other,,
27,Cayenne pepper,Spices,,
28,Chicken stock,Other,,
29,Coconut,Nut,,
30,Cream,Dairy,,
31,Egg plant,Vegetables,,
32,Fennel,Vegetables,,
33,Fish sauce,Other,,
34,Leek,Vegetables,,
35,Lime,Fruits,,
36,Mustard,Condiments,,
37,Oragano,Herbs,,
38,Paprika,Spices,,
39,Parsley,Herbs,,
40,Pine nut,Nut,,
41,Potato,Vegetables,,
42,Rapeseed oil,Oils,,
43,Rice,Other,,
44,Sesame oil,Oils,,
45,Smoked paprika,Spices,,
46,Soy,Other,,
47,Star anise,Spices,,
48,Tahin,Other,,
49,White wine,Alcohol,,
50,White wine vinegar,Vinegars,,
