Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Dark chocolate,Other
2,Cheddar,Cheeses,Lime,Fruits
3,Cilantro,Herbs,,
4,Cumin,Spices,,
5,Garlic,Herbs,,
6,Onion,Vegetables,,
7,Pepper,Spices,,
8,Tomato,Vegetables,,
9,Avocado,Vegetables,,
10,Smoked paprika,Spices,,
11,Bean,Vegetables,,
12,Chili,Herbs,,
13,Lime,Fruits,,
14,Zucchini,Vegetables,,
15,Chicken,Meats,,
16,Cinnamon,Spices,,
17,Creme fraiche,Dairy,,
18,Cucumber,Vegetables,,
19,Paprika,Spices,,
20,Red onion,Vegetables,,
21,Beef,Meats,,
22,Bell pepper,Vegetables,,
23,Carrot,Other,,
24,Cayenne pepper,Spices,,
25,Celery,Vegetables,,
26,Curry,Spices,,
27,Ginger,Herbs,,
28,Oragano,Herbs,,
29,Cardamom,Spices,,
30,Chive,Herbs,,
31,Chorizo,Meats,,
32,Cloves,Spices,,
33,Dark chocolate,Other,,
34,Leek,Vegetables,,
35,Lemon,Fruits,,
36,Mayonnaise,Condiments,,
37,Mint,Herbs,,
38,Mozzarella,Cheeses,,
39,Parsley,Herbs,,
40,Portwine,Alcohol,,
41,Potato,Vegetables,,
42,Pumpkin,Vegetables,,
43,Red wine,Alcohol,,
44,Rice,Other,,
45,Salad,Other,,
46,Spinach,Spices,,
47,Timian,Herbs,,
