Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Chili,Herbs
2,Garlic,Herbs,Olive oil,Oils
3,Bell pepper,Vegetables,Onion,Vegetables
4,Onion,Vegetables,Yoghurt,Dairy
5,Red onion,Vegetables,Arugula,Vegetables
6,Parmesan,Dairy,Balsamic vinegar,Vinegars
7,Spinach,Spices,Cinnamon,Spices
8,Chili,Herbs,Coriander seed,Other
9,Egg plant,Vegetables,Couscous,Other
10,Tomato,Vegetables,Cream,Dairy
11,Cilantro,Herbs,Cumin,Spices
12,Creme fraiche,Dairy,Fish sauce,Other
13,Flatleaf Parsley,Herbs,Garam masala,Spices
14,White wine,Alcohol,Garlic,Herbs
15,Avocado,Vegetables,Ginger,Herbs
16,Balsamic vinegar,Vinegars,Sesame seed,Seeds
17,Basil,Herbs,Tomato,Vegetables
18,Bay leaf,Herbs,Turmeric,Spices
19,Brocolli,Vegetables,,
20,Buttermilk,Dairy,,
21,Capers,Other,,
22,Carrot,Other,,
23,Cayenne pepper,Spices,,
24,Celery,Vegetables,,
25,Cherry,Berries,,
26,Cinnamon,Spices,,
27,Cucumber,Vegetables,,
28,Cumin,Spices,,
29,Dill,Herbs,,
30,Fennel,Vegetables,,
31,Feta,Cheeses,,
32,Garam masala,Spices,,
33,Ginger,Herbs,,
34,Leek,Vegetables,,
35,Lemon,Fruits,,
36,Mascarpone,Cheeses,,
37,Mint,Herbs,,
38,Nutmeg,Spices,,
39,Oragano,Herbs,,
40,Parsley,Herbs,,
41,Pea,Vegetables,,
42,Pine nut,Nut,,
43,Potato,Vegetables,,
44,Rosemary,Herbs,,
45,Smoked paprika,Spices,,
46,Spring onion,Vegetables,,
47,Sweet potato,Vegetables,,
48,Turmeric,Spices,,
49,Yoghurt,Dairy,,
