Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Chili,Herbs
2,Garlic,Herbs,Cinnamon,Spices
3,Chicken stock,Other,Coriander seed,Other
4,Cumin,Spices,Courgette,Vegetables
5,Honey,Sugars,Cumin,Spices
6,Red onion,Vegetables,Olive oil,Oils
7,Tomato,Vegetables,Yoghurt,Dairy
8,Yoghurt,Dairy,,
9,Lemon,Fruits,,
10,Onion,Vegetables,,
11,Paprika,Spices,,
12,Parsley,Herbs,,
13,Chick pea,Vegetables,,
14,Chili,Herbs,,
15,Cilantro,Herbs,,
16,Cinnamon,Spices,,
17,Flatleaf Parsley,Herbs,,
18,Lime,Fruits,,
19,Mustard,Condiments,,
20,Pepper,Spices,,
21,Spring onion,Vegetables,,
22,Turmeric,Spices,,
23,Vegetable stock,Other,,
24,Bell pepper,Vegetables,,
25,Cayenne pepper,Spices,,
26,Cucumber,Vegetables,,
27,Feta,Cheeses,,
28,Ginger,Herbs,,
29,Leek,Vegetables,,
30,Mint,Herbs,,
31,Nutmeg,Spices,,
32,Parmesan,Dairy,,
33,Raisin,Fruits,,
34,Rapeseed oil,Oils,,
35,Shallot,Vegetables,,
36,Smoked paprika,Spices,,
37,Spinach,Spices,,
38,Tahin,Other,,
