Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Pepper,Spices,Almond,Nut
2,Vodka,Alcohol,Honey,Sugars,Pistachio,Nut
3,Cointreau,Liqueurs,Olive oil,Oils,Cinnamon,Spices
4,Orange,Fruits,Red onion,Vegetables,Dark chocolate,Other
5,Gin,Alcohol,Apple,Fruits,Lemon,Fruits
6,Lemon,Fruits,Lemon,Fruits,Orange,Fruits
7,Tequila,Alcohol,Mustard,Condiments,Apricot,Fruits
8,Apple,Fruits,Red cabbage,Vegetables,Cardamom,Spices
9,Apple cider,Alcohol,Garlic,Herbs,Ginger,Herbs
10,Blackberry,Berries,Walnut,Nut,Hazelnut,Nut
11,Cherry,Berries,Almond,Nut,Milk chocolate,Other
12,Ginger,Herbs,Apple cider vinegar,Vinegars,White chocolate,Other
13,Ginger ale,Beverages,Bacon,Meats,Cloves,Spices
14,Grapefruit,Fruits,Brocolli,Vegetables,Cocoa,Other
15,Honey,Sugars,Cardamom,Spices,Honey,Sugars
16,Light rum,Alcohol,Carrot,Other,Marshmallow,Candy
17,Nutmeg,Spices,Cinnamon,Spices,Walnut,Nut
18,Pineapple,Fruits,Cloves,Spices,Carrot,Other
19,Rosemary,Herbs,Ginger,Herbs,Coconut,Nut
20,Sweet vermouth,Alcohol,Hazelnut,Nut,Cream cheese,Cheeses
21,,,Kale,Vegetables,Fennel,Vegetables
22,,,Orange,Fruits,Flaxseed,Seeds
23,,,Parsley,Herbs,Marzipan,Other
24,,,Pear,Fruits,Mascarpone,Cheeses
25,,,Pomegranate,Fruits,Mint,Herbs
26,,,Pumpkin seed,Seeds,Nougat,Other
27,,,Spring onion,Vegetables,Olive oil,Oils
28,,,Allspice,Spices,Pepper,Spices
29,,,Arugula,Vegetables,Raisin,Fruits
30,,,Balsamic vinegar,Vinegars,Sesame seed,Seeds
31,,,Beetroot,Vegetables,Star anise,Spices
32,,,Buttermilk,Dairy,Strawberry,Berries
33,,,Cashew,Nut,Vanilla,Herbs
34,,,Cauliflower,Vegetables,Vodka,Alcohol
35,,,Cilantro,Herbs,,
36,,,Cointreau,Liqueurs,,
37,,,Cream cheese,Cheeses,,
38,,,Creme fraiche,Dairy,,
39,,,Fennel,Vegetables,,
40,,,Flaxseed,Seeds,,
41,,,Lime,Fruits,,
42,,,Mayonnaise,Condiments,,
43,,,Mint,Herbs,,
44,,,Mushroom,Vegetables,,
45,,,Nutmeg,Spices,,
46,,,Onion,Vegetables,,
47,,,Pistachio,Nut,,
48,,,Poppy seed,Seeds,,
49,,,Rosemary,Herbs,,
50,,,Sesame seed,Seeds,,
51,,,Tahin,Other,,
52,,,Timian,Herbs,,
53,,,Vodka,Alcohol,,
54,,,White wine vinegar,Vinegars,,
55,,,Yoghurt,Dairy,,
