Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Vanilla,Herbs
2,Olive oil,Oils,Lemon,Fruits
3,Garlic,Herbs,Cinnamon,Spices
4,Onion,Vegetables,Marzipan,Other
5,Tomato,Vegetables,White chocolate,Other
6,Bell pepper,Vegetables,Cocoa,Other
7,Dill,Herbs,Creme fraiche,Dairy
8,Parmesan,Dairy,Dark chocolate,Other
9,Smoked salmon,Meats,Marshmallow,Candy
10,Timian,Herbs,Walnut,Nut
11,Basil,Herbs,Blueberry,Berries
12,Chicken,Meats,Cardamom,Spices
13,Chive,Herbs,Carrot,Other
14,Chorizo,Meats,Cloves,Spices
15,Cucumber,Vegetables,Ginger,Herbs
16,Kale,Vegetables,Orange,Fruits
17,Lemon,Fruits,Raspberry,Berries
18,Mustard,Condiments,Strawberry,Berries
19,Paprika,Spices,Almond,Nut
20,Parsley,Herbs,Apple,Fruits
21,Potato,Vegetables,Beetroot,Vegetables
22,Red onion,Vegetables,Blackberry,Berries
23,Spinach,Spices,Buttermilk,Dairy
24,Almond,Nut,Hazelnut,Nut
25,Apple cider vinegar,Vinegars,Honey,Sugars
26,Arugula,Vegetables,Lime,Fruits
27,Avocado,Vegetables,Maple syrup,Sugars
28,Bacon,Meats,Mint,Herbs
29,Bay leaf,Herbs,Nutmeg,Spices
30,Beef,Meats,Pecan,Nut
31,Bread,Other,Pistachio,Nut
32,Butternut squash,Vegetables,Pumpkin,Vegetables
33,Cheddar,Cheeses,Rhubarb,Fruits
34,Chili,Herbs,Yoghurt,Dairy
35,Cilantro,Herbs,Allspice,Spices
36,Cocoa,Other,Apple cider vinegar,Vinegars
37,Cranberry,Berries,Apricot,Fruits
38,Cream,Dairy,Bacon,Meats
39,Creme fraiche,Dairy,Baileys,Alcohol
40,Cumin,Spices,Basil,Herbs
41,Curry,Spices,Cherry,Berries
42,Edamame,Vegetables,Chokeberry,Berries
43,Feta,Cheeses,Coconut,Nut
44,Hazelnut,Nut,Condensed milk,Dairy
45,Honey,Sugars,Cranberry,Berries
46,Leek,Vegetables,Dark rum,Alcohol
47,Lime,Fruits,Elderflower,Herbs
48,Mint,Herbs,Flaxseed,Seeds
49,Mozzarella,Cheeses,Ketchup,Condiments
50,Mushroom,Vegetables,Lemon balm,Herbs
51,Pasta,Other,Lemongrass,Herbs
52,Pomegranate,Fruits,Licorice,Candy
53,Rice,Other,Mango,Fruits
54,Rye bread,Other,Mascarpone,Cheeses
55,Salad,Other,Milk chocolate,Other
56,Salmon,Meats,Olive oil,Oils
57,Sesame seed,Seeds,Oreo,Candy
58,Shallot,Vegetables,Passionfruit,Fruits
59,Soy,Other,Pepper,Spices
60,Spring onion,Vegetables,Peppermint,Herbs
61,Sundried tomato,Vegetables,Pineapple,Fruits
62,Turmeric,Spices,Poppy seed,Seeds
63,Vanilla,Herbs,Prune,Fruits
64,Walnut,Nut,Pumpkin seed,Seeds
65,White wine,Alcohol,Redcurrant,Berries
66,Yoghurt,Dairy,Rosemary,Herbs
67,,,Sea buckthorn,Berries
68,,,Sesame seed,Seeds
69,,,Smoked paprika,Spices
70,,,Soy,Other
71,,,White wine vinegar,Vinegars
72,,,Zucchini,Vegetables
