Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Nutmeg,Spices,Garlic,Herbs,Vanilla,Herbs
2,Cinnamon,Spices,Olive oil,Oils,Cinnamon,Spices
3,Baileys,Alcohol,Onion,Vegetables,Pepper,Spices
4,Lemon,Fruits,Pepper,Spices,Creme fraiche,Dairy
5,Lime,Fruits,Chicken stock,Other,Garlic,Herbs
6,Yellow chartreuse,Alcohol,Parmesan,Dairy,Ginger,Herbs
7,Gin,Alcohol,Chili,Herbs,Olive oil,Oils
8,Orange,Fruits,Shallot,Vegetables,Chicken stock,Other
9,Orgeat syrup,Other,Tomato,Vegetables,Chili,Herbs
10,Pineapple,Fruits,White wine,Alcohol,Nutmeg,Spices
11,Whipped Cream,Dairy,Cheddar,Cheeses,Almond,Nut
12,Allspice,Spices,Cumin,Spices,Lemon,Fruits
13,Amaretto,Alcohol,Leek,Vegetables,White wine,Alcohol
14,Banana,Fruits,Lemon,Fruits,Apple,Fruits
15,Bourbon,Alcohol,Mustard,Condiments,Apple cider,Alcohol
16,Brandy,Alcohol,Parsley,Herbs,Avocado,Vegetables
17,Coconut,Nut,Potato,Vegetables,Blueberry,Berries
18,Coffee,Beverages,Red onion,Vegetables,Bourbon,Alcohol
19,Cognac,Alcohol,Timian,Herbs,Brandy,Alcohol
20,Grapefruit,Fruits,Balsamic vinegar,Vinegars,Buttermilk,Dairy
21,Honey,Sugars,Bay leaf,Herbs,Caramel,Sugars
22,Kahlua,Alcohol,Carrot,Other,Carrot,Other
23,Maple syrup,Sugars,Cayenne pepper,Spices,Cayenne pepper,Spices
24,Mint,Herbs,Celery,Vegetables,Cheddar,Cheeses
25,Pepper,Spices,Cilantro,Herbs,Cocoa,Other
26,Rum,Alcohol,Cinnamon,Spices,Courgette,Vegetables
27,Vanilla,Herbs,Creme fraiche,Dairy,Cumin,Spices
28,Vodka,Alcohol,Fennel seed,Spices,Dark chocolate,Other
29,White chocolate,Other,Flatleaf Parsley,Herbs,Date,Fruits
30,,,Garam masala,Spices,Garam masala,Spices
31,,,Ginger,Herbs,Honey,Sugars
32,,,Nutmeg,Spices,Maple syrup,Sugars
33,,,Oragano,Herbs,Marshmallow,Candy
34,,,Pea,Vegetables,Mayonnaise,Condiments
35,,,Rosemary,Herbs,Mint,Herbs
36,,,Spinach,Spices,Mustard,Condiments
37,,,Anchovy,Meats,Onion,Vegetables
38,,,Apple cider,Alcohol,Orange,Fruits
39,,,Avocado,Vegetables,Paprika,Spices
40,,,Basil,Herbs,Parmesan,Dairy
41,,,Beef stock,Other,Parsley,Herbs
42,,,Bell pepper,Vegetables,Pea,Vegetables
43,,,Brandy,Alcohol,Pine nut,Nut
44,,,Buttermilk,Dairy,Ricotta,Cheeses
45,,,Capers,Other,Rosemary,Herbs
46,,,Cauliflower,Vegetables,Sesame seed,Seeds
47,,,Chick pea,Vegetables,Soy,Other
48,,,Cloves,Spices,Strawberry,Berries
49,,,Coriander seed,Other,Tomato,Vegetables
50,,,Cream cheese,Cheeses,Turmeric,Spices
51,,,Dill,Herbs,,
52,,,Fennel,Vegetables,,
53,,,Hazelnut,Nut,,
54,,,Honey,Sugars,,
55,,,Kale,Vegetables,,
56,,,Lime,Fruits,,
57,,,Maple syrup,Sugars,,
58,,,Mascarpone,Cheeses,,
59,,,Mayonnaise,Condiments,,
60,,,Mint,Herbs,,
61,,,Mushroom,Vegetables,,
62,,,Paprika,Spices,,
63,,,Pine nut,Nut,,
64,,,Pineapple,Fruits,,
65,,,Pointed cabbage,Vegetables,,
66,,,Rapeseed oil,Oils,,
67,,,Red wine,Alcohol,,
68,,,Rice,Other,,
69,,,Ricotta,Cheeses,,
70,,,Sage,Herbs,,
71,,,Sesame seed,Seeds,,
72,,,Smoked paprika,Spices,,
73,,,Soy,Other,,
74,,,Spring onion,Vegetables,,
75,,,Star anise,Spices,,
76,,,Sweet potato,Vegetables,,
77,,,Turmeric,Spices,,
78,,,Vegetable stock,Other,,
79,,,Vodka,Alcohol,,
80,,,Watercress,Vegetables,,
81,,,White wine vinegar,Vinegars,,
82,,,Worcestershire sauce,Condiments,,
83,,,Yoghurt,Dairy,,
